endpoint_id,base_url,host,status,org_id,org_npi,org_name,org_state
Endpoint-325ed93f-10b2-4754-9ac6-3cf24086775e,https://api.platform.athenahealth.com/19309/brand/1/csg/1/fhir/r4,api.platform.athenahealth.com,active,Organization-1467910828,1467910828,2ME HEALTHCARELLC,
Endpoint-8afa0486-33aa-4d39-a68d-15a97c46f894,https://api.platform.athenahealth.com/21310/brand/1/csg/1/fhir/r4,api.platform.athenahealth.com,active,Organization-1376176917,1376176917,5 STAR MEDICAL CARE LLC,
Endpoint-ba8e688b-0712-4be0-b041-e0865a93e456,https://api.platform.athenahealth.com/12923/brand/1/csg/1/fhir/r4,api.platform.athenahealth.com,active,Organization-1982063780,1982063780,ACADIANA PEDIATRIC GASTROENTEROLOGY AND HEPATOLOGY,
Endpoint-e8947c8c-6f33-4977-90e7-366284af1706,https://epicfe.unch.unc.edu/FHIR/UNCADAMSDENTISTRY/api/FHIR/R4,epicfe.unch.unc.edu,error,Organization-1972349710,1972349710,ADAMS SCHOOL OF DENTISTRY,
Endpoint-65eaff0a-96cc-4299-9bb1-75c5b948dcf0,https://api.platform.athenahealth.com/22051/brand/1/csg/1/fhir/r4,api.platform.athenahealth.com,active,Organization-1134741218,1134741218,ADVANCED BEHAVIORAL CLINICIANS,
Endpoint-3e16e1c8-439e-4e99-8b7a-ad7129f08f91,https://api.platform.athenahealth.com/17460/brand/1/csg/1/fhir/r4,api.platform.athenahealth.com,active,Organization-1265701650,1265701650,ADVANCED SPINE CENTER,
Endpoint-a97c88ce-5749-4eeb-88e7-f529d814e606,https://api.platform.athenahealth.com/11640/brand/14/csg/1/fhir/r4,api.platform.athenahealth.com,active,Organization-1760859714,1760859714,ADVENT HEALTHCARE,
Endpoint-50333db3-5af6-471d-8c88-c2ed86b142f5,https://apif1.aetna.com/fhir/v2/patientaccess/,apif1.aetna.com,active,Organization-1548036445,1548036445,AETNA,
Endpoint-0c5a6e30-f9f3-4eb0-ab42-76c6db952a03,https://fhir4.healow.com/fhir/r4/BDEHDD,fhir4.healow.com,active,Organization-1114635935,1114635935,AGAPE NURSE AGENCY LLC,
Endpoint-22c5e081-2595-460c-a280-82e59db0ddfa,https://api.platform.athenahealth.com/8267/brand/1/csg/1/fhir/r4,api.platform.athenahealth.com,active,Organization-1215325279,1215325279,AHOSKIE ADULT MEDICINE CLINIC PLLC,
