npi,ccn,state,organization,owner,owner_role,owner_state,percentage,association_date,holding_company,chain_home_office,for_profit,non_profit,private_equity,reit,investment_firm,management_services
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,LIFEPOINT HOLDINGS 2 LLC,5% OR GREATER INDIRECT OWNERSHIP INTEREST,TN,80,3/1/2025,no,no,yes,no,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,LIFEPOINT CORPORATE SERVICES GENERAL PARTNERSHIP,OPERATIONAL/MANAGERIAL CONTROL,TN,,1/1/2015,no,no,no,no,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,DSB ACQUISITION LLC,5% OR GREATER INDIRECT OWNERSHIP INTEREST,NY,80,11/16/2018,no,no,yes,no,no,no,yes,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,LIFEPOINT HOSPITALS HOLDINGS LLC,5% OR GREATER INDIRECT OWNERSHIP INTEREST,TN,80,12/31/2015,no,no,yes,no,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,"HISTORIC LIFEPOINT HOSPITALS, LLC",5% OR GREATER INDIRECT OWNERSHIP INTEREST,TN,80,1/1/1999,no,no,yes,no,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,LIFEPOINT HEALTH INC,5% OR GREATER INDIRECT OWNERSHIP INTEREST,TN,80,11/16/2018,no,yes,yes,no,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,"HIGHPOINT HEALTHCARE, LLC",5% OR GREATER DIRECT OWNERSHIP INTEREST,TN,100,2/28/2025,no,no,no,no,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,SAINT THOMAS NETWORK,5% OR GREATER INDIRECT OWNERSHIP INTEREST,TN,20,2/28/2025,no,no,no,yes,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,SAINT THOMAS HEALTH,5% OR GREATER INDIRECT OWNERSHIP INTEREST,TN,20,2/28/2025,no,no,no,yes,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,ASCENSION HEALTH,5% OR GREATER INDIRECT OWNERSHIP INTEREST,MO,20,2/28/2025,no,no,no,yes,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,BAPTIST HEALTH CARE AFFILIATES INC,5% OR GREATER INDIRECT OWNERSHIP INTEREST,TN,20,2/28/2025,no,no,no,yes,no,no,no,no
1467408781,440058,TN,SOUTHERN TENNESSEE MEDICAL CENTER LLC,LEGACY LIFEPOINT HEALTH LLC,5% OR GREATER INDIRECT OWNERSHIP INTEREST,TN,80,5/8/2015,yes,no,yes,no,no,no,no,no
1689653487,200024,ME,CENTRAL MAINE MEDICAL CENTER,CENTRAL MAINE HEALTHCARE CORPORATION,OPERATIONAL/MANAGERIAL CONTROL,ME,,1/1/1996,no,no,no,no,no,no,no,no
1134281280,220062,MA,"ADCARE HOSPITAL OF WORCESTER, INC","HMS EQUITY HOLDING,LLC",5% OR GREATER INDIRECT OWNERSHIP INTEREST,TX,5.5,12/14/2020,no,no,no,no,no,no,no,no
1134281280,220062,MA,"ADCARE HOSPITAL OF WORCESTER, INC","KAT SPV, LLC",5% OR GREATER INDIRECT OWNERSHIP INTEREST,NY,11.3,12/14/2020,no,no,no,no,no,no,no,no
