npi,name,billing_state,provider_type,entity_type,medicare_paid_2023,medicare_allowed_2023,services_2023,beneficiaries_2023,nppes_lookup_url
1073251336,Apprise Diagnostics Llc,FL,Clinical Laboratory,O,14987053.75,14987053.75,100323,7460,https://npiregistry.cms.hhs.gov/provider-view/1073251336
1730662271,Medsbyme Llc,NY,Pharmacy,O,13103583.53,13103583.53,1114255,84164,https://npiregistry.cms.hhs.gov/provider-view/1730662271
1538814678,Cardinal5 Labs Llc,TX,Clinical Laboratory,O,10610591.53,10610591.53,901241,69408,https://npiregistry.cms.hhs.gov/provider-view/1538814678
1629093174,Bankovich Linda,AE,Physical Therapist in Private Practice,I,9753638.16,9753638.16,829391,82748,https://npiregistry.cms.hhs.gov/provider-view/1629093174
1225554843,Global Diagnostic Lab Inc,CA,Clinical Laboratory,O,7843293.16,7843293.16,180690,3274,https://npiregistry.cms.hhs.gov/provider-view/1225554843
1063515195,Channelview Pharmacy Limited Liability Company,TX,Mass Immunizer Roster Biller,O,7475561.51,7475561.51,635757,75989,https://npiregistry.cms.hhs.gov/provider-view/1063515195
1851062715,Spartan Laboratories Inc,FL,Clinical Laboratory,O,7203859.01,7203859.01,420151,25250,https://npiregistry.cms.hhs.gov/provider-view/1851062715
1447518543,Continuum Services Llc,FL,All Other Suppliers,O,6790002.76,8551713.49,5406,1633,https://npiregistry.cms.hhs.gov/provider-view/1447518543
1881342293,White Glove Med Labs Llc,NJ,Clinical Laboratory,O,6085256.28,6085256.28,15298,1433,https://npiregistry.cms.hhs.gov/provider-view/1881342293
1457091324,Triple Helix Diagnostics,TX,Clinical Laboratory,O,5574983.84,5574983.84,455888,18444,https://npiregistry.cms.hhs.gov/provider-view/1457091324
1396754727,Obara Grzegorz,NV,Hematology-Oncology,I,4556218.54,5722816.13,328055,1042,https://npiregistry.cms.hhs.gov/provider-view/1396754727
1235881327,Medical Research Centers Llc,IL,Clinical Laboratory,O,4551025.92,4551025.92,386992,48374,https://npiregistry.cms.hhs.gov/provider-view/1235881327
1467409383,Nielsen Jared,IA,Ophthalmology,I,4451970.55,5669276.1,109963,1172,https://npiregistry.cms.hhs.gov/provider-view/1467409383
1063405082,Mahindra Anuj,CA,Hematology-Oncology,I,4219784.29,5316203.13,201643,764,https://npiregistry.cms.hhs.gov/provider-view/1063405082
1639188766,Agrawal Apurv,NJ,Medical Oncology,I,3955082.54,4978022.51,359304,1341,https://npiregistry.cms.hhs.gov/provider-view/1639188766
1265429989,Warmuth Marc,FL,Hematology-Oncology,I,3879813.74,4883389.35,247394,1213,https://npiregistry.cms.hhs.gov/provider-view/1265429989
1063417707,Saman Shaker,VA,Hematology-Oncology,I,2762427.72,3458352.2,113425,1105,https://npiregistry.cms.hhs.gov/provider-view/1063417707
1063147478,Evolution Dx Llc,TX,Clinical Laboratory,O,2748053.28,2748053.28,233678,18879,https://npiregistry.cms.hhs.gov/provider-view/1063147478
1275501363,Keralavarma Balagopal,IN,Hematology-Oncology,I,2385018.01,2996266.07,136778,457,https://npiregistry.cms.hhs.gov/provider-view/1275501363
1730558602,Circulogene Theranostics Llc,AL,Clinical Laboratory,O,2270502.56,2270502.56,1882,588,https://npiregistry.cms.hhs.gov/provider-view/1730558602
1306119615,"Barnet Dulaney Perkins Eye Center, Pc",AZ,Ambulatory Surgical Center,O,2014396.64,2552604.28,5665,1291,https://npiregistry.cms.hhs.gov/provider-view/1306119615
1548266844,Kassem Bachar,KY,Medical Oncology,I,1986577.31,2504901.64,96801,377,https://npiregistry.cms.hhs.gov/provider-view/1548266844
1346244845,Lakeland Surgical & Diagnostic Center Llp,FL,Ambulatory Surgical Center,O,1977414.1,2398613.95,6664,2873,https://npiregistry.cms.hhs.gov/provider-view/1346244845
1003869488,Snyder Harvey,NJ,Cardiology,I,1887758.36,2390048.44,8197,1763,https://npiregistry.cms.hhs.gov/provider-view/1003869488
1831280536,Effingham Surgical Partners Llc,IL,Ambulatory Surgical Center,O,1880016.0,2360099.5,6161,1802,https://npiregistry.cms.hhs.gov/provider-view/1831280536
1942797535,"Phycare Asc, Llc",PA,Ambulatory Surgical Center,O,1790630.62,2260501.94,2882,969,https://npiregistry.cms.hhs.gov/provider-view/1942797535
1417602269,Fizza Health Care Services Inc,IL,Clinical Laboratory,O,1783427.52,1783427.52,151652,41053,https://npiregistry.cms.hhs.gov/provider-view/1417602269
1437574191,Oil Center Surgical Plaza,LA,Ambulatory Surgical Center,O,1634950.0,2059891.0,2080,1205,https://npiregistry.cms.hhs.gov/provider-view/1437574191
1902834922,Southwestern Eye Center Ltd,AZ,Ambulatory Surgical Center,O,1511892.39,1899433.54,3198,1283,https://npiregistry.cms.hhs.gov/provider-view/1902834922
1336464668,Great Lakes Medical Laboratory Inc,MI,Clinical Laboratory,O,1477038.29,1477038.29,112841,8989,https://npiregistry.cms.hhs.gov/provider-view/1336464668
1104892165,Stewart Randall,SC,General Practice,I,1469071.25,1845451.56,74582,157,https://npiregistry.cms.hhs.gov/provider-view/1104892165
