host,address,status,managing_org_id
api-bcbsal-prd.safhir.io,https://api-bcbsal-prd.safhir.io/v1/api,error,
api.arkbluecross.com,https://api.arkbluecross.com/blueware/V1/FHIR/,error,
api.bcbsnefhir.com,https://api.bcbsnefhir.com/r4/,active,
api.bcbsnefhir.com,https://api.bcbsnefhir.com/r4,active,
api.bcbsri.com,https://api.bcbsri.com/PatientAccessAPI/fhir,active,
api.bluecrossmn.com,https://api.bluecrossmn.com/fhir/,active,
api.healthpartnersfhir.com,https://api.healthpartnersfhir.com/r4,active,Organization/Organization-1699838557
api.interopstation.com,https://api.interopstation.com/bcbsm/fhir,active,
api.secure.bcbsks.com,https://api.secure.bcbsks.com/bcbsks/fhir-server/api/v4/,error,
apif1.aetna.com,https://apif1.aetna.com/fhir/v2/patientaccess/,active,
apif1.aetna.com,https://apif1.aetna.com/fhir/v2/patientaccess/,active,Organization/Organization-1548036445
apiservices-ext.bcbsnc.com,https://apiservices-ext.bcbsnc.com/fhir/prod/R4/patientaccess/,error,
app.meldrx.com,https://app.meldrx.com/api/fhir/rt_cypresshealthpartnerspreviouslybaystatephysicaltherapy/,active,
app.meldrx.com,https://app.meldrx.com/api/fhir/rt_andwellhealthpartners,active,
app.meldrx.com,https://app.meldrx.com/api/fhir/rt_cypresshealthpartnerspreviouslybaystatephysicaltherapy,active,
app.meldrx.com,https://app.meldrx.com/api/fhir/rt_andwellhealthpartners/,active,
carefirstmedicalgroup.prognocis.com,https://carefirstmedicalgroup.prognocis.com/prognocis/fhir/carefirstmedicalgroup/,active,
chpdc-api.carefirst.com,https://chpdc-api.carefirst.com/v1/fhir/patientaccess,error,
chpmd-api.carefirst.com,https://chpmd-api.carefirst.com/v1/fhir/patientaccess/,error,
dhfhirpresentation.smartcarenet.com,https://dhfhirpresentation.smartcarenet.com/fhir/communityalliancehealthpartners/1053008276/r4/,active,
dsnp-api.carefirst.com,https://dsnp-api.carefirst.com/v1/fhir/patientaccess,error,
egwp-api.carefirst.com,https://egwp-api.carefirst.com/v1/fhir/patientaccess/,error,
epicarr.healthcare.cigna.com,https://epicarr.healthcare.cigna.com/FHIR-PRD/api/FHIR/R4/,active,
epicarr.healthcare.cigna.com,https://epicarr.healthcare.cigna.com/FHIR-PRD/api/FHIR/R4/,active,
epicarr.optum.com,https://epicarr.optum.com/FHIR/api/FHIR/R4/,active,
epicpnwarr.optum.com,https://epicpnwarr.optum.com/FHIR/api/FHIR/R4/,active,
fhir-myrecord.cerner.com,https://fhir-myrecord.cerner.com/r4/M2R0_m2IUHctNyO_gPCACDfAwqslpW-C/,active,
fhir-myrecord.cerner.com,https://fhir-myrecord.cerner.com/r4/M2R0_m2IUHctNyO_gPCACDfAwqslpW-C/,active,
fhir.bcbssc.com,https://fhir.bcbssc.com/r4/patientaccess/,active,
fhir.cigna.com,https://fhir.cigna.com/PatientAccess/v1/,error,
fhir.cigna.com,https://fhir.cigna.com/PatientAccess/v1/,error,Organization/Organization-1982025391
fhir.humana.com,https://fhir.humana.com/api/,active,Organization/Organization-1447694054
fhir.humana.com,https://fhir.humana.com/api/,active,
fhir.netsmartcloud.com,https://fhir.netsmartcloud.com/payer/provider-directory/v2/5f6f1d30-6f0c-46e3-9d8a-2b9f88a0f2b8/,active,
fhir.qualifacts.org,https://fhir.qualifacts.org/insync/anthembehavioralhealth-200/,active,
fhir4.eclinicalworks.com,https://fhir4.eclinicalworks.com/fhir/r4/ANTHEM/,active,
fhir4.healow.com,https://fhir4.healow.com/fhir/r4/ANTHEM,active,
flex.optum.com,https://flex.optum.com/fhirpublic/R4/,error,
healthx.fhir.flex.optum.com,https://healthx.fhir.flex.optum.com/R4/,error,
hsid.fhir.flex.optum.com,https://hsid.fhir.flex.optum.com/R4/,error,
mapd-api.carefirst.com,https://mapd-api.carefirst.com/v1/fhir/patientaccess/,error,
mhbe-api.carefirst.com,https://mhbe-api.carefirst.com/v1/fhir/patientaccess/,error,
patient360.anthem.com,https://patient360.anthem.com/P360Member/api/fhir-r4/,active,
patient360.anthem.com,https://patient360.anthem.com/P360Member/api/fhir/,active,
patient360.mybcbswny.com,https://patient360.mybcbswny.com/P360Member/api/fhir-r4/,active,
patient360.mybcbswny.com,https://patient360.mybcbswny.com/P360Member/api/fhir/,active,
patient360c.anthem.com,https://patient360c.anthem.com/P360Member/api/fhir-r4/,active,
patient360c.anthem.com,https://patient360c.anthem.com/P360Member/api/fhir/,active,
patient360ca.anthem.com,https://patient360ca.anthem.com/P360Member/api/fhir/,active,
patient360ca.anthem.com,https://patient360ca.anthem.com/P360Member/api/fhir-r4/,active,
patient360kc.bcbsdirect.com,https://patient360kc.bcbsdirect.com/P360Member/api/fhir/,active,
patient360kc.bcbsdirect.com,https://patient360kc.bcbsdirect.com/P360Member/api/fhir-r4/,active,
patient360ks.bcbsdirect.com,https://patient360ks.bcbsdirect.com/P360Member/api/fhir/,active,
patient360ks.bcbsdirect.com,https://patient360ks.bcbsdirect.com/P360Member/api/fhir-r4/,active,
patient360la.anthem.com,https://patient360la.anthem.com/P360Member/api/fhir-r4/,active,
patient360la.anthem.com,https://patient360la.anthem.com/P360Member/api/fhir/,active,
patient360mo.anthem.com,https://patient360mo.anthem.com/P360Member/api/fhir/,active,
patient360mo.anthem.com,https://patient360mo.anthem.com/P360Member/api/fhir-r4/,active,
patient360nc.bcbsdirect.com,https://patient360nc.bcbsdirect.com/P360Member/api/fhir/,active,
patient360nc.bcbsdirect.com,https://patient360nc.bcbsdirect.com/P360Member/api/fhir-r4/,active,
patient360ny.bcbsdirect.com,https://patient360ny.bcbsdirect.com/P360Member/api/fhir-r4/,active,
patient360ny.bcbsdirect.com,https://patient360ny.bcbsdirect.com/P360Member/api/fhir/,active,
prod.api.centene.com,https://prod.api.centene.com/iopc/pa/fhir/patientaccess,error,
proxy.healthpartners.com,https://proxy.healthpartners.com/FHIRProxy/api/FHIR/DSTU2/,error,
proxy.healthpartners.com,https://proxy.healthpartners.com/FHIRProxy/api/FHIR/R4/,active,Organization/Organization-1699838557
proxy.healthpartners.com,https://proxy.healthpartners.com/FHIRProxy/api/FHIR/R4/,active,
proxy.healthpartners.com,https://proxy.healthpartners.com/FHIRProxy/api/FHIR/DSTU2/,error,
rmhp.fhir.flex.optum.com,https://rmhp.fhir.flex.optum.com/R4/,error,
rx.premierhealthpartners.org,https://rx.premierhealthpartners.org/fhir/api/FHIR/R4/,error,
rx.premierhealthpartners.org,https://rx.premierhealthpartners.org/fhir/api/FHIR/R4/,error,Organization/Organization-1952778003
sandbox-fhir.humana.com,https://sandbox-fhir.humana.com/api/,error,
secapi.bcbsil.com,https://secapi.bcbsil.com/fhir/r4,error,
secapi.bcbsmt.com,https://secapi.bcbsmt.com/fhir/r4,error,
secapi.bcbsnm.com,https://secapi.bcbsnm.com/fhir/r4,error,
secapi.bcbsok.com,https://secapi.bcbsok.com/fhir/r4,error,
secapi.bcbstx.com,https://secapi.bcbstx.com/fhir/r4,error,
sierra.fhir.flex.optum.com,https://sierra.fhir.flex.optum.com/R4/,error,
soap.uhcs.org,https://soap.uhcs.org/IC-FHIR/api/FHIR/R4/,error,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/Amerigroup/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/SimplyHealthCare/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/DellChildrenHealthPlan/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/AnthemBlueCross/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/HealthyBlueBlueChoice/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/BlueMedicareAdvantage/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/AnthemBlueCrossBlueShield/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/Unicare/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/Summit/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/HealthyBlue/api/v1/fhir,active,
totalview.healthos.elevancehealth.com,https://totalview.healthos.elevancehealth.com/resources/registered/HealthyBlueNC/api/v1/fhir,active,
uhcfhir01.unityhc.com,https://uhcfhir01.unityhc.com/R4/open-R4,active,Organization/Organization-1033765110
uhcfhir01.unityhc.com,https://uhcfhir01.unityhc.com/R4/open-R4/,active,
webchartnow.com,https://webchartnow.com/cuhc/webchart.cgi/fhir/Metadata/,error,
