npi,category,taxonomy_code,primary_switch,nppes_deactivated,ndh_role,cms_enrollment_org
1003000407,physician,207Q00000X,Y,,Y,
1003000530,physician,207R00000X,Y,,Y,Y
1003001512,behavioral-health,103TC0700X,Y,,Y,
1003002387,rehab-therapy,225100000X,Y,,,
1003002551,rehab-therapy,225200000X,Y,,,
1003002783,physician,2085R0202X,Y,,Y,Y
1003002932,physician,207P00000X,Y,,Y,Y
1003003054,dental,1223G0001X,Y,,Y,
1003004458,behavioral-health,104100000X,Y,,,
1003005158,nursing,164W00000X,Y,,,
1003005851,behavioral-health,101Y00000X,Y,,,
1003006248,physician,207Y00000X,Y,,Y,Y
1003006297,rehab-therapy,2255A2300X,Y,,,
1003006735,advanced-practice,363LP0200X,Y,,Y,Y
1003007410,behavioral-health,101YA0400X,Y,,,
1003007592,advanced-practice,363A00000X,Y,,Y,Y
1003007683,physician,207P00000X,Y,,Y,Y
1003007725,pharmacy,183500000X,Y,,,
1003008335,behavioral-health,103TC0700X,Y,,Y,Y
1003008574,physician,208M00000X,Y,,Y,Y
1003009085,physician,207RC0000X,Y,,,
1003009523,physician,2080P0207X,Y,,,
1003010075,chiropractic,111N00000X,Y,,Y,
1003010133,physician,207Q00000X,Y,,Y,Y
1003010935,chiropractic,111N00000X,Y,,Y,Y
1003011081,behavioral-health,103TC0700X,Y,,,
1003011438,advanced-practice,363AM0700X,Y,,Y,
1003011552,behavioral-health,103TB0200X,Y,,,
1003011644,nursing,164W00000X,Y,,,
1003012154,physician,207P00000X,Y,,Y,Y
1003012519,dental,1223G0001X,Y,,,
1003013129,physician,2085R0204X,Y,,Y,Y
1003013202,pharmacy,183500000X,Y,,,
1003013483,physician,207RC0200X,Y,,Y,Y
1003013541,rehab-therapy,225100000X,Y,,,
1003013632,podiatry,213ES0131X,Y,,Y,
1003013988,advanced-practice,363A00000X,Y,,Y,Y
1003014317,rehab-therapy,225X00000X,Y,,Y,Y
1003014424,rehab-therapy,225X00000X,Y,,,
1003015223,nursing,164W00000X,Y,,,
1003015272,physician,208000000X,Y,,Y,Y
1003016114,rehab-therapy,235Z00000X,Y,,,
1003016304,eye-vision,152W00000X,Y,,Y,Y
1003016569,physician,208000000X,Y,,Y,
1003017328,nursing,163W00000X,Y,,,
1003017518,physician,207L00000X,Y,,Y,Y
1003018151,behavioral-health,103TC0700X,Y,,,
1003018938,rehab-therapy,225100000X,Y,,,
1003018946,physician,2086S0120X,Y,,Y,Y
1003019100,chiropractic,111N00000X,Y,,,
1003019159,behavioral-health,101YM0800X,Y,,,
1003019308,nursing,164W00000X,Y,,,
1003019811,physician,2084N0400X,Y,,Y,Y
1003020405,advanced-practice,363LW0102X,Y,,,
1003020546,pharmacy,183500000X,Y,,Y,
1003020561,physician,208G00000X,Y,,,
1003020629,rehab-therapy,225100000X,Y,,,
1003020751,physician,208G00000X,Y,,Y,Y
1003021734,dental,122300000X,Y,,Y,
1003022500,physician,208VP0000X,Y,,Y,Y
1003024365,physician,207P00000X,Y,,Y,Y
1003024811,physician,207RE0101X,Y,,Y,Y
1003024936,physician,207P00000X,Y,,,
1003024969,rehab-therapy,231H00000X,Y,,Y,
1003025461,physician,207R00000X,Y,,Y,Y
1003025776,physician,2084P0800X,Y,,,
1003027715,behavioral-health,104100000X,Y,,,
1003028283,support,376K00000X,Y,,,
1003028440,dental,1223G0001X,Y,,Y,
1003029281,rehab-therapy,235Z00000X,Y,,,
1003029562,physician,207R00000X,Y,,Y,Y
1003031246,behavioral-health,103T00000X,Y,,,
1003031774,rehab-therapy,2251G0304X,Y,,,
1003031816,rehab-therapy,225100000X,Y,,,
1003032665,pharmacy,183500000X,Y,,,
1003032699,rehab-therapy,224Z00000X,Y,,,
1003033168,rehab-therapy,225200000X,Y,,,
1003033689,physician,207W00000X,Y,,Y,
1003034455,physician,207R00000X,Y,,Y,Y
1003034612,rehab-therapy,225X00000X,Y,,Y,Y
1003034653,dental,1223G0001X,Y,,,
1003034984,dental,1223X0400X,Y,,,
1003035155,nursing,164W00000X,Y,,,
1003035353,physician,2085R0202X,Y,,Y,Y
1003037292,dental,1223G0001X,Y,,,
1003037979,dental,1223G0001X,Y,,Y,
1003038274,physician,207R00000X,Y,,Y,
1003038316,eye-vision,152W00000X,Y,,Y,Y
1003038761,physician,208600000X,Y,,Y,Y
1003038829,behavioral-health,101YM0800X,Y,,,
1003038993,rehab-therapy,225100000X,Y,,,
1003040007,behavioral-health,103K00000X,Y,,,
1003040015,behavioral-health,101YP2500X,Y,,Y,Y
1003040882,physician,207Y00000X,Y,,Y,Y
1003041005,physician,207PE0004X,Y,,Y,Y
1003041351,rehab-therapy,225X00000X,Y,,,
1003041559,physician,2084P0800X,Y,,Y,Y
1003041633,nursing,163W00000X,Y,,,
1003042490,physician,207RN0300X,Y,,Y,
1003042714,physician,208D00000X,Y,,Y,Y
1003043266,behavioral-health,1041C0700X,Y,,Y,Y
1003043316,rehab-therapy,225200000X,Y,,,
1003043555,physician,207Q00000X,Y,,Y,Y
1003044074,nursing,163WP0200X,Y,,,
1003044686,behavioral-health,101Y00000X,Y,,Y,Y
1003044934,physician,207Q00000X,Y,,Y,Y
1003045139,advanced-practice,363A00000X,Y,,Y,Y
1003045162,rehab-therapy,235Z00000X,Y,,,
1003045451,chiropractic,111N00000X,Y,,,
1003045931,dietary,133V00000X,Y,,,
1003046681,advanced-practice,367A00000X,Y,,Y,Y
1003047259,behavioral-health,103TC0700X,Y,,,
1003047424,behavioral-health,101YM0800X,Y,,,
1003047549,nursing,163W00000X,Y,,,
1003048083,dietary,133V00000X,Y,,Y,Y
1003048935,rehab-therapy,2251P0200X,Y,,,
1003049180,behavioral-health,101YM0800X,Y,,,
1003049503,physician,207R00000X,Y,,Y,Y
1003049578,advanced-practice,363LA2100X,Y,,Y,Y
1003050295,advanced-practice,363LF0000X,Y,,Y,Y
1003050378,pharmacy,183500000X,Y,,,
1003050535,physician,208100000X,Y,,Y,Y
1003050691,physician,207ZP0101X,Y,,Y,
1003050782,advanced-practice,363AM0700X,Y,,Y,Y
1003050915,physician,208M00000X,Y,,Y,Y
1003051392,nursing,164W00000X,Y,,,
1003051640,pharmacy,183700000X,Y,,,
1003051749,pharmacy,183500000X,Y,,Y,
1003052473,behavioral-health,103T00000X,Y,,,
1003052689,pharmacy,183700000X,Y,,,
1003052754,behavioral-health,1041C0700X,Y,,Y,Y
1003053141,nursing,164W00000X,Y,,,
1003053299,physician,207R00000X,Y,,,
1003053836,nursing,163W00000X,Y,,,
1003054073,rehab-therapy,225X00000X,Y,,Y,
1003054248,physician,207RE0101X,Y,,Y,Y
1003054503,physician,208000000X,Y,,,
1003055419,nursing,163W00000X,Y,,,
1003056078,rehab-therapy,225X00000X,Y,,Y,
1003056144,behavioral-health,103TC0700X,Y,,Y,Y
1003056524,physician,207R00000X,Y,,Y,Y
1003056649,nursing,163W00000X,Y,,,
1003056854,rehab-therapy,225X00000X,Y,,,
1003056888,advanced-practice,363LP0808X,Y,,Y,Y
1003056912,behavioral-health,101YM0800X,Y,,,Y
1003057001,advanced-practice,367A00000X,Y,,Y,
1003057639,dietary,133V00000X,Y,,,
1003057944,nursing,164W00000X,Y,,,
1003058264,physician,207LC0200X,Y,,Y,Y
1003058413,rehab-therapy,225100000X,Y,,,
1003059726,behavioral-health,103T00000X,Y,,,
1003059734,advanced-practice,367500000X,Y,,,
1003060740,physician,207Q00000X,Y,,Y,Y
1003060765,advanced-practice,363LA2200X,Y,,,
1003061961,rehab-therapy,225100000X,Y,,,
1003062571,behavioral-health,101YM0800X,Y,,,
1003062894,nursing,163W00000X,Y,,,
1003063348,physician,207RR0500X,Y,,Y,Y
1003063983,behavioral-health,101YP2500X,Y,,,
