url,org_name,org_npi,vendor,in_ndh,ndh_has_owner
https://api.baptist-health.org/interconnect-fhir/api/fhir/r4,Baptist Health,1477569218,Epic (User-access Brands),yes,yes
https://api.ccf.org/mu/api/fhir/r4,Cleveland Clinic,1104334226,Epic (User-access Brands),yes,yes
https://api.patientfusion.com/fhir/r4/v1/0010c6b1-d24b-454c-9028-149a574bc3ad,Benech Family Clinic,,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/0052fcde-ed02-4e37-a052-81c41d6a37d9,Kids First Pediatrics LLC,1669890471,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/00ddc71a-79d1-442f-a33f-7d8af846ecde,Crescent Infectious Diseases PLLC,,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/00e533eb-f300-48f6-824d-787b94ccd3e1,BEYOND YOUR SCARS,,Practice Fusion,no,
https://api.patientfusion.com/fhir/r4/v1/01102dc0-8714-41ba-9521-9eebaab72c56,Body and soul medical spa,,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/01282a61-05ad-4b02-8de7-780e000ccf4a,Maria del Mar Torres Perez Practice,1396907622,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/013ae099-e5b3-40cc-a45b-b9a329f0dc15,vyta of las vegas,,Practice Fusion,no,
https://api.patientfusion.com/fhir/r4/v1/01412a71-cffa-4f69-945e-6a69a001aaf8,Karen Neurology PLC,1407533219,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/017edb72-bd6e-4f5b-a4b0-a9f96dc7be91,Nurse Practitioner On Demand,1760855258,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/01a775da-3c4f-4814-9120-5d3ea261e1fe,Paul Hoffman Practice,,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/01bae408-0bef-4a11-b00e-273d1b4f69e5,Stallant Medical Group Inc,,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/01c7dd63-3b7f-49f0-8323-ad7a1968285e,ENC Peds PLLC,1518692797,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/01ca9534-4425-4c5c-a608-f37d3b21908a,MJD WELLNESS AND COMMUNITY CENTER INC,1356311922,Practice Fusion,no,
https://api.patientfusion.com/fhir/r4/v1/01e65277-ee1a-4083-be03-a9ebca57df58,Absolute Calm Psychiatry,1619790086,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/01edd596-cf1d-4ed1-a9af-80415cb455b5,Gabrielle Cochran FNP,1730116732,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/020bcf4e-c5d3-4415-ab56-a2ff0166bfd7,HAQ Neurology & Sleep Medicine,1417404716,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/0232c5d4-c409-4c0c-92e6-424e11f6e9d4,Feet First Institute of Beavercreek,1124730080,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/02bc9151-c209-4e5a-b09c-3a348e4c49be,Palm Springs Medical Group,1114338340,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/03301245-3403-44f4-878f-c60c0c4ca961,Orchard Medical Clinic,,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/03445b29-04de-4692-9e24-faa0b06cfea9,Catholic Charities Diocese of Venice,,Practice Fusion,no,
https://api.patientfusion.com/fhir/r4/v1/034db2bc-b4e7-495c-96e2-1657cc17e206,AR Advanced Care LLC,1104662899,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/0354d416-b0a2-4e70-9919-5db80dc56a8e,Canton Family Medicine and Wellness Center,1386081529,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/036b2e7a-72fa-4403-bae6-de17d483a0c2,"Dream Glow Cosmetics and Weight Loss, PLLC",,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/037d3ef3-0b8e-453a-a70a-236045f2ad5e,"28401 Hoover Road Waren, MI 48093",1598353526,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/0383e78e-ba00-4397-a0e5-3ed0a3337f5d,Family Medical Health Care PLLC,,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/03f7ba9c-aa47-4991-9128-f55681e00780,Divine Medical Associates,1124724828,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/04003d4b-9b7e-482e-a6bc-234c49c88591,NEW LIFE HEALTH AND CONCIERGE LLC,1841914736,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/0405b5de-df74-4222-b097-59a52a9b3623,"The Neurology and Headache Center of New Jersey, L.L.C.",1679639850,Practice Fusion,yes,no
https://api.patientfusion.com/fhir/r4/v1/043f50be-cf23-4acc-b3d9-30db22bae9b5,"Psyche, P.C.",1831414507,Practice Fusion,yes,no
