npi,name,state,billing_state,medicare_paid_2023,medicare_allowed_2023,services_2023,beneficiaries_2023,provider_type,exclusion_source,exclusion_effective_year,post_exclusion_2023_billing,score,leie_lookup_url,sam_lookup_url,nppes_lookup_url
1891964904,"VO, TIEN",CA,CA,758224.74,914342.38,29366,1666,Internal Medicine,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1891964904
1285816868,"NIKNIA, DAVID",CA,CA,752629.94,983541.93,8648,1026,Physician Assistant,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1285816868
1720135726,"ROSTAMI, MIKE",CA,CA,496606.28,646409.18,11449,214,General Practice,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1720135726
1235142894,"WATSON, GEOFFREY",CA,CA,316623.79,434695.39,3022,334,Internal Medicine,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1235142894
1861415374,"SIAO, DONALD",CA,CA,221259.68,310394.38,3183,695,Family Practice,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1861415374
1811930357,"SMITH, DAVID",CA,CA,187226.04,235808.23,1397,243,Pain Management,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1811930357
1265610463,"PIRANI, YASMIN",CA,CA,169270.25,214019.51,4986,4455,Diagnostic Radiology,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1265610463
1174588891,"THOMPSON, WILLIAM",CA,CA,160604.64,212060.45,1424,266,Infectious Disease,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1174588891
1427128073,"THROPAY, JOHN",CA,CA,150060.62,189415.49,852,27,Radiation Oncology,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1427128073
1770702698,"KAO, WAYNE",CA,CA,111571.42,143362.99,2921,252,"Psychologist, Clinical",oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1770702698
1821181215,"O BRIEN, MICHAEL",CA,CA,110511.72,147962.3,2749,172,Family Practice,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1821181215
1558407411,"ARONOWITZ, JOEL",CA,CA,106342.64,139262.66,846,103,Plastic and Reconstructive Surgery,oig_excluded,2023,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1558407411
1104968684,"SEYMOUR, ELIZABETH",CA,TX,104354.82,139466.63,3988,269,Family Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1104968684
