npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003010489,POTOMAC AUDIOLOGY LLC,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",231H00000X,https://npiregistry.cms.hhs.gov/provider-view/1003010489
1003012063,"NWAOGWUGWU, UZOAKMAKA",DC,PRACTITIONER - NEPHROLOGY,14-39,207RN0300X,"207R00000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003012063
1003035049,JOAN R SEALY M.D.P.C,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",2084P0800X,https://npiregistry.cms.hhs.gov/provider-view/1003035049
1003042730,"SMITH, KIMBERLY",DC,PRACTITIONER - DIAGNOSTIC RADIOLOGY,14-30,"2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X",208600000X,https://npiregistry.cms.hhs.gov/provider-view/1003042730
1003057159,"CAPITAL HEALTHCARE SERVICES, INC",DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003057159
1003065582,"TURNER, TIFFANY",DC,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",208600000X,https://npiregistry.cms.hhs.gov/provider-view/1003065582
1003074428,"LENG, DAVID",DC,PRACTITIONER - FAMILY PRACTICE,14-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003074428
1003078924,"N.K. RENAUD, M.D. P.C.",DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003078924
1003090812,"IMELDA MIRANDA, M.D.",DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003090812
1003090879,AMERICAN CURRENT CARE PA,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","261QH0100X,261QU0200X",https://npiregistry.cms.hhs.gov/provider-view/1003090879
1003101932,"HONG, FEIYU",DC,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21","174400000X,208M00000X",https://npiregistry.cms.hhs.gov/provider-view/1003101932
1003107467,"KLEIN, KATHERINE",DC,PRACTITIONER - CARDIAC SURGERY,14-78,208G00000X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003107467
1003108549,"ZHOU, SHAOQING",DC,PRACTITIONER - UROLOGY,14-34,"208800000X,2088F0040X,2088P0231X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003108549
1003151291,FAMILY CARE ASSOCIATES,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",261QP2300X,https://npiregistry.cms.hhs.gov/provider-view/1003151291
1003170853,"CARNEIRO, SUSETE",DC,PRACTITIONER - ORTHOPEDIC SURGERY,14-20,"207X00000X,207XP3100X,207XS0106X,207XS0114X,207XS0117X+3",208600000X,https://npiregistry.cms.hhs.gov/provider-view/1003170853
1003172776,"ONONOBI, CYNTHIA",DC,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",374U00000X,https://npiregistry.cms.hhs.gov/provider-view/1003172776
1003198938,"SHIVASHANKAR, RAVISHANKAR",DC,PRACTITIONER - DIAGNOSTIC RADIOLOGY,14-30,"2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X","2085N0700X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003198938
1003200684,"LIU, JIA",DC,PRACTITIONER - PEDIATRIC MEDICINE,14-37,"208000000X,2080A0000X,2080B0002X,2080C0008X,2080H0002X+19",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003200684
1003202664,"AHMED, IMRAN",DC,PRACTITIONER - DIAGNOSTIC RADIOLOGY,14-30,"2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003202664
