npi,name,state,billing_state,medicare_paid_2023,medicare_allowed_2023,services_2023,beneficiaries_2023,provider_type,exclusion_source,exclusion_effective_year,post_exclusion_2023_billing,score,leie_lookup_url,sam_lookup_url,nppes_lookup_url
1285981043,"HOLLINGTON, SCOTT",FL,FL,257027.9,339171.18,2587,326,General Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1285981043
1225011885,"WENTZELL, THOMAS",FL,FL,176999.75,219069.31,2646,616,Internal Medicine,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1225011885
1699840884,"DUVALL, STEPHEN",FL,FL,156124.55,197373.34,7733,121,Physical Therapist in Private Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1699840884
1649201153,"SCOLA, JERE",FL,FL,98370.97,136020.22,1375,224,Podiatry,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1649201153
1942217526,"MORALES, OSMIN",FL,FL,82484.0,107127.6,817,42,Interventional Pain Management,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1942217526
1659348548,"DAS, RAJIVE",FL,FL,45703.64,60309.41,571,64,Family Practice,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1659348548
1639220064,"BURACK, STEVEN",FL,FL,31251.9,40998.23,351,100,Physical Medicine and Rehabilitation,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1639220064
1184820292,"MCGAHA, QING",FL,FL,21529.89,30694.17,267,29,Family Practice,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1184820292
1154336907,"RASUL, IFTIKHAR",FL,FL,18662.33,27285.82,229,33,Psychiatry,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1154336907
1649241613,"WILSON, LATRESIA",FL,FL,6114.33,8126.35,55,46,Emergency Medicine,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1649241613
1083891626,"MARTIN, DEBORAH",FL,FL,6029.5,8349.79,83,19,Licensed Clinical Social Worker,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1083891626
1932157062,"RERKO, DAVID",FL,FL,4959.9,6225.19,31,28,Anesthesiology,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1932157062
