npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1013117175,"MAGISTRE-LEGEND, RACHEL",GU,PRACTITIONER - PHYSICIAN ASSISTANT,14-97,"363A00000X,363AM0700X,363AS0400X",104100000X,https://npiregistry.cms.hhs.gov/provider-view/1013117175
1013278936,PACIFIC CARDIOLOGY CONSULTANTS LLC,GU,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207R00000X,207RC0000X,207RI0011X,207UN0901X",https://npiregistry.cms.hhs.gov/provider-view/1013278936
1023097375,"KIM, JOHNNY",GU,PRACTITIONER - EMERGENCY MEDICINE,14-93,"146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+3",146D00000X,https://npiregistry.cms.hhs.gov/provider-view/1023097375
1023230752,PACIFIC RADIOLOGY INC A PROFESSIONAL CORPORATION,GU,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",2085R0202X,https://npiregistry.cms.hhs.gov/provider-view/1023230752
1023354982,JUAN CARLOS QUIROS MD A PROFESSIONAL MEDICAL CORPORATION,GU,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",174400000X,https://npiregistry.cms.hhs.gov/provider-view/1023354982
1023451762,"URBANO, LEONORA",GU,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",163W00000X,https://npiregistry.cms.hhs.gov/provider-view/1023451762
1033560354,"MEDENBACH, ANDREW",GU,PRACTITIONER - EMERGENCY MEDICINE,14-93,"146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+3",171000000X,https://npiregistry.cms.hhs.gov/provider-view/1033560354
1033612874,"KESSLER, NATHAN",GU,PRACTITIONER - PEDIATRIC MEDICINE,14-37,"208000000X,2080A0000X,2080B0002X,2080C0008X,2080H0002X+19",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1033612874
1043529050,"JI, HYO",GU,PRACTITIONER - ANESTHESIOLOGY,14-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1043529050
1043552243,"CUMMINGS, AMY",GU,PRACTITIONER - HEMATOLOGY/ONCOLOGY,14-83,207RH0003X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1043552243
