npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003008350,JAMES BAIRD DPM INC,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",213ES0103X,https://npiregistry.cms.hhs.gov/provider-view/1003008350
1003015074,ADVANCED NEUROLOGICAL ASSOCIATES SC,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",174400000X,https://npiregistry.cms.hhs.gov/provider-view/1003015074
1003019209,"NAIR, DEEPAK",IL,PRACTITIONER - CRITICAL CARE (INTENSIVISTS),14-81,207RC0200X,2084N0400X,https://npiregistry.cms.hhs.gov/provider-view/1003019209
1003019779,TLC PAIN MANAGEMENT & SLEEP RESTORATION SC,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",208VP0014X,https://npiregistry.cms.hhs.gov/provider-view/1003019779
1003019894,BOLING MEDICAL LLC,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003019894
1003025602,RIDGLELAND FAMILY CHIROPRACTIC INC,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003025602
1003025651,"FAASSE, MARK",IL,PRACTITIONER - GENERAL SURGERY,14-02,"204E00000X,204F00000X,207T00000X,207X00000X,207XP3100X+20",208800000X,https://npiregistry.cms.hhs.gov/provider-view/1003025651
1003026204,DRS SEHY AND JONES OPTOMETRISTS PC,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",152W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003026204
1003030115,SPOON RIVER HEARING SERVICES INC,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",231H00000X,https://npiregistry.cms.hhs.gov/provider-view/1003030115
1003031030,GRAYSLAKE EYECARE ASSOC LTD,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",152W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003031030
1003033861,"GLENWOOD CENTER, LTD",IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",2084P0800X,https://npiregistry.cms.hhs.gov/provider-view/1003033861
1003034315,VANFOSSEN CHIROPRACTIC PC,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003034315
1003035254,"RAY, CARRIE",IL,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1003035254
1003035650,DICKS CHIROPRACTIC AND ACUPUNCTURE OFFICES INC,IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003035650
1003045071,"LONG, TIMOTHY",IL,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003045071
1003046152,"K.A.M ALLIANCE, INC.",IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","2084P0800X,251S00000X",https://npiregistry.cms.hhs.gov/provider-view/1003046152
1003047184,"HOME PHYSICIAN CARE, LLC",IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207P00000X,251E00000X,363LA2200X,363LF0000X",https://npiregistry.cms.hhs.gov/provider-view/1003047184
1003047929,"ETMINAN, SODABEH",IL,PRACTITIONER - ORAL SURGERY,14-19,"1223S0112X,207WX0108X",1223G0001X,https://npiregistry.cms.hhs.gov/provider-view/1003047929
1003049966,"DHORAJIA, GIRISHKUMAR",IL,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",103TP0016X,https://npiregistry.cms.hhs.gov/provider-view/1003049966
1003050097,LIVING SPRING HOME HEALTHCARE INC,IL,PART A PROVIDER - HOME HEALTH AGENCY,00-06,207RC0000X,251E00000X,https://npiregistry.cms.hhs.gov/provider-view/1003050097
1003058942,"TAHER, HAJERA",IL,PRACTITIONER - ANESTHESIOLOGY,14-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003058942
1003066010,"NAPERVILLE REHABILITATION AND PAIN MANAGEMENT CENTER, P.C.",IL,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003066010
1003067307,"JACKMAN, LAURA",IL,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1003067307
1003068909,FREEPORT REGIONAL HEALTH CARE FOUNDATION,IL,DME SUPPLIER - PHYSICIAN - GENERAL PRACTICE,30-01,208D00000X,"332B00000X,332S00000X",https://npiregistry.cms.hhs.gov/provider-view/1003068909
1003072547,"MEHDI, ASAD",IL,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,207Q00000X,https://npiregistry.cms.hhs.gov/provider-view/1003072547
1003072893,"SHAH, ANAND",IL,PRACTITIONER - RADIATION ONCOLOGY,14-92,2085R0001X,2085R0203X,https://npiregistry.cms.hhs.gov/provider-view/1003072893
