npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003000399,RECONSTRUCTIVE HAND TO SHOULDER OF INDIANA LLC,IN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207XS0106X,https://npiregistry.cms.hhs.gov/provider-view/1003000399
1003003534,ETHERIDGE CHIROPRACTIC CLINIC INC,IN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003003534
1003018201,"JAIN, RAHUL",IN,PRACTITIONER - CARDIAC ELECTROPHYSIOLOGY | PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),"14-06,14-21","207RC0000X,207RC0001X","207R00000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003018201
1003034364,"DAVIS, ALEXIS",IN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1003034364
1003068560,"BAMIDELE, ANNE",IN,PRACTITIONER - OCCUPATIONAL THERAPIST IN PRIVATE PRACTICE,14-67,"225X00000X,225XE0001X,225XE1200X,225XF0002X,225XG0600X+8",225200000X,https://npiregistry.cms.hhs.gov/provider-view/1003068560
1003075565,"VILLECCO, MARLENE",IN,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1003075565
1003077488,MOAZZAM HABIB MD PC,IN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207RE0101X,https://npiregistry.cms.hhs.gov/provider-view/1003077488
1003082041,"GORESKI, ALEKSANDAR",IN,PRACTITIONER - ANESTHESIOLOGY,14-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003082041
1003084401,HAND SURGERY ASSOCIATES OF INDIANA INC,IN,DME SUPPLIER - INDEPENDENTLY-PRACTICING OCCUPATIONAL THERAPIST,30-67,"225X00000X,225XE0001X,225XE1200X,225XF0002X,225XG0600X+8","332B00000X,335E00000X",https://npiregistry.cms.hhs.gov/provider-view/1003084401
1003096504,"GREAT LAKES PULMONARY & SLEEP ASSOCIATES, INC",IN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207RC0200X,207RP1001X,207RS0012X",https://npiregistry.cms.hhs.gov/provider-view/1003096504
1003096900,DR MARY TILAK P C,IN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207RB0002X,https://npiregistry.cms.hhs.gov/provider-view/1003096900
1003103953,"DAHAGAM, CHANUKYA",IN,PRACTITIONER - CARDIAC ELECTROPHYSIOLOGY,14-21,207RC0001X,"183500000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003103953
1003104043,LOULY DENTISTRY INC,IN,DME SUPPLIER - ORAL SURGERY - DENTIST | PART B SUPPLIER - CLINIC/GROUP PRACTICE,"12-70,30-19","1223S0112X,193200000X,193400000X,207WX0108X,261Q00000X+2","1223P0700X,332B00000X",https://npiregistry.cms.hhs.gov/provider-view/1003104043
1003119876,BRIDGES DIALYSIS LLC,IN,PART A PROVIDER - END-STAGE RENAL DISEASE FACILITY (ESRD),00-03,"207K00000X,207KA0200X,207KI0005X",261QE0700X,https://npiregistry.cms.hhs.gov/provider-view/1003119876
1003121104,"WASHINGTON, COURTNEY",IN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1003121104
1003122003,"SRA, MINI",IN,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003122003
1003122151,"LIS, TOMASZ",IN,PRACTITIONER - EMERGENCY MEDICINE | PRACTITIONER - FAMILY PRACTICE,"14-08,14-93","146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+13",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003122151
