npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003001819,"TAVORA, SARA",MI,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1003001819
1003004086,"MICHIGAN ADVANCED NEUROLOGY CENTER, PLLC",MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",2084N0400X,https://npiregistry.cms.hhs.gov/provider-view/1003004086
1003017310,"LYNN BEALS-BECKER, D.O., PLC",MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",204D00000X,https://npiregistry.cms.hhs.gov/provider-view/1003017310
1003020249,"FREDERICK, HEATHER",MI,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",251S00000X,https://npiregistry.cms.hhs.gov/provider-view/1003020249
1003024332,"DENCHEV, KRASSIMIR",MI,PRACTITIONER - CRITICAL CARE (INTENSIVISTS),14-81,207RC0200X,207L00000X,https://npiregistry.cms.hhs.gov/provider-view/1003024332
1003025263,"MOUNTAIN TOWN REHAB, INC",MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",225100000X,https://npiregistry.cms.hhs.gov/provider-view/1003025263
1003027194,"SHAMSI, ROHMA",MI,ORDER AND REFERRING ONLY - GERIATRIC MEDICINE,33-38,"207QG0300X,207RG0300X",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003027194
1003030750,"SCHLOESSER, BRETTON",MI,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,"207R00000X,208000000X",https://npiregistry.cms.hhs.gov/provider-view/1003030750
1003033481,"HUNT, NAN",MI,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,104100000X,https://npiregistry.cms.hhs.gov/provider-view/1003033481
1003040585,"JUDITH M. PASKIEWICZ, PH.D., P.C.",MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1003040585
