npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003014184,"BEERS, ADAM",MN,ORDER AND REFERRING ONLY - ORAL SURGERY,33-19,"1223S0112X,207WX0108X",1223G0001X,https://npiregistry.cms.hhs.gov/provider-view/1003014184
1003037458,"WHITEHEAD, DEVON",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1003037458
1003048430,"WEBER, TROY",MN,PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,14-E1,106H00000X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1003048430
1003054545,"MULFINGER, AMANDA",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1003054545
1003063751,"MEDENWALD, JONI",MN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,104100000X,https://npiregistry.cms.hhs.gov/provider-view/1003063751
1003066168,"REITZ, JULIA",MN,PRACTITIONER - QUALIFIED AUDIOLOGIST,14-64,"231H00000X,231HA2400X,231HA2500X",237600000X,https://npiregistry.cms.hhs.gov/provider-view/1003066168
1003075615,BOLINE FENSTRA CHIROPRACTIC PC,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003075615
1003106048,OAK HILL CHIROPRACTIC P.C.,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003106048
1003112822,ALLINA HEALTH SYSTEM,MN,DME SUPPLIER - PHYSICIAN - GENERAL PRACTICE,30-01,208D00000X,"207Q00000X,261Q00000X",https://npiregistry.cms.hhs.gov/provider-view/1003112822
1003116393,"ARMSTRONG, LANCE",MN,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1003116393
1003118787,"COLEMAN, JESSICA",MN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,374J00000X,https://npiregistry.cms.hhs.gov/provider-view/1003118787
1003122151,"LIS, TOMASZ",MN,PRACTITIONER - EMERGENCY MEDICINE | PRACTITIONER - FAMILY PRACTICE,"14-08,14-93","146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+13",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003122151
1003157769,"KINETIC CHIROPRACTIC, P.C.",MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003157769
1003177304,"HAN, SAMUEL",MN,PRACTITIONER - GASTROENTEROLOGY,14-10,207RG0100X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003177304
1003192154,"NESS, ALISHA",MN,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,133V00000X,https://npiregistry.cms.hhs.gov/provider-view/1003192154
1003195942,PLYMOUTH PSYCH GROUP LLC,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1003195942
1003203498,"VARHOL, TYLER",MN,PRACTITIONER - MAXILLOFACIAL SURGERY,14-85,204E00000X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003203498
1003233131,"TOLLY, BRIAN",MN,PRACTITIONER - ANESTHESIOLOGY,14-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003233131
1003235367,"BILLINGTON, CHARLES",MN,PRACTITIONER - MEDICAL GENETICS AND GENOMICS,14-D3,"207SG0201X,207SG0202X,207SG0203X,207SG0205X,207SM0001X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003235367
1003250366,"RUMER, KRISTEN",MN,PRACTITIONER - COLORECTAL SURGERY (PROCTOLOGY),14-28,208C00000X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003250366
1003252198,"SINHA, PREETHA",MN,PRACTITIONER - ORTHOPEDIC SURGERY,14-20,"207X00000X,207XP3100X,207XS0106X,207XS0114X,207XS0117X+3",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003252198
1003260803,"CUBINSKI, MOLLY",MN,PRACTITIONER - CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),14-43,367500000X,163W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003260803
1003272154,ANTHONY GETTEL DC LLC,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003272154
1003277203,HEARING ON MAIN CORPORATION,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",237600000X,https://npiregistry.cms.hhs.gov/provider-view/1003277203
1003290867,"FRENDL, DANIEL",MN,PRACTITIONER - UROLOGY,14-34,"208800000X,2088F0040X,2088P0231X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003290867
1003292392,"BIO-MEDICAL APPLICATIONS OF MINNESOTA, INC.",MN,PART A PROVIDER - END-STAGE RENAL DISEASE FACILITY (ESRD),00-03,"207K00000X,207KA0200X,207KI0005X",261QE0700X,https://npiregistry.cms.hhs.gov/provider-view/1003292392
1003293713,"KLINGBEIL, LAURA",MN,PRACTITIONER - ORTHOPEDIC SURGERY,14-20,"207X00000X,207XP3100X,207XS0106X,207XS0114X,207XS0117X+3",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003293713
1003294422,"CHRISTOPOULOS, GEORGIOS",MN,PRACTITIONER - CARDIAC ELECTROPHYSIOLOGY,14-21,207RC0001X,"207R00000X,207RC0000X",https://npiregistry.cms.hhs.gov/provider-view/1003294422
1003295726,"SHRAKE, DAVID",MN,PRACTITIONER - FAMILY PRACTICE,14-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003295726
1003299827,"TICHENOR, JORDAN",MN,PRACTITIONER - INFECTIOUS DISEASE,14-44,207RI0200X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003299827
1003301243,"HUELSNITZ, SHAWNA",MN,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",106S00000X,https://npiregistry.cms.hhs.gov/provider-view/1003301243
1003303439,"ANDERSON, JOHN",MN,PRACTITIONER - FAMILY PRACTICE,14-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003303439
1003303488,"TOMLINSON, LAUREN",MN,PRACTITIONER - PEDIATRIC MEDICINE,14-37,"208000000X,2080A0000X,2080B0002X,2080C0008X,2080H0002X+19",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003303488
1003303801,"BALSER, DAVID",MN,PRACTITIONER - PHYSICAL MEDICINE AND REHABILITATION,14-25,"208100000X,2081H0002X,2081N0008X,2081P0004X,2081P0010X+2",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003303801
1003305061,"YANG, ALISON",MN,PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,14-E1,106H00000X,106S00000X,https://npiregistry.cms.hhs.gov/provider-view/1003305061
1003307075,"SEVEN, NATHAN",MN,PRACTITIONER - NEUROLOGY,14-13,"2084A2900X,2084E0001X,2084N0400X,2084N0402X,2085N0700X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003307075
1003309543,"COHEN, ERIN",MN,PRACTITIONER - HOSPICE/PALLIATIVE CARE,14-17,"207LH0002X,207PH0002X,207QH0002X,207RH0002X,207VH0002X+2",208000000X,https://npiregistry.cms.hhs.gov/provider-view/1003309543
1003310020,"COUSINS, COLLIN",MN,PRACTITIONER - EMERGENCY MEDICINE,14-93,"146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+3",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003310020
1003310152,"KHALID, MIAN",MN,PRACTITIONER - GASTROENTEROLOGY,14-10,207RG0100X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003310152
1003311770,"COLEMAN, PETER",MN,PRACTITIONER - ANESTHESIOLOGY,14-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003311770
1003311929,"WICK, KATHERINE",MN,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003311929
1003311978,"ANDRINAS, KATIE",MN,PRACTITIONER - OBSTETRICS/GYNECOLOGY,14-16,"207V00000X,207VB0002X,207VC0200X,207VC0300X,207VE0102X+6",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003311978
1003312554,"MONEY, JOEL",MN,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003312554
1003319047,"BERTRAM, KYLE",MN,PRACTITIONER - EMERGENCY MEDICINE,14-93,"146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+3",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003319047
1003337973,"MANSOUR, ABDALLAH",MN,PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),14-06,207RC0000X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003337973
1003341801,LASKI MENTAL WELLNESS & COUNSELING LLC,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1003341801
1003342130,"PETERSON, ABIGAIL",MN,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003342130
1003345786,"STEFONOWICZ, CHRISTOPHER",MN,PRACTITIONER - OPHTHALMOLOGY,14-18,"207W00000X,207WX0009X,207WX0107X,207WX0109X,207WX0110X+2",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003345786
1003353202,CENTRACARE HEALTH SYSTEM-NR LLC,MN,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,00-85,204E00000X,273R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003353202
1003355215,CORON FAMILY CHIROPRACTIC PLLC,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003355215
1003359597,ICARE FAMILY VISION PLC,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",152W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003359597
1003376146,"HARRIS, BENJAMIN",MN,PRACTITIONER - PULMONARY DISEASE,14-29,207RP1001X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003376146
1003376385,"HENRIE, TANNER",MN,PRACTITIONER - DIAGNOSTIC RADIOLOGY,14-30,"2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003376385
1003376468,"JANG, ALBERT",MN,PRACTITIONER - MEDICAL ONCOLOGY,14-90,207RX0202X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003376468
1003377649,"OLSON, AMBER",MN,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003377649
1003377664,"MACNEILL, LAUREN",MN,PRACTITIONER - OBSTETRICS/GYNECOLOGY,14-16,"207V00000X,207VB0002X,207VC0200X,207VC0300X,207VE0102X+6",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003377664
1003378761,"PETERS, KATHERINE",MN,PRACTITIONER - OPHTHALMOLOGY,14-18,"207W00000X,207WX0009X,207WX0107X,207WX0109X,207WX0110X+2",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003378761
1003378902,"VASQUEZ AVILA, ALEJANDRA",MN,PRACTITIONER - NEUROLOGY,14-13,"2084A2900X,2084E0001X,2084N0400X,2084N0402X,2085N0700X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003378902
1003384231,"ANDREWS, PAMELA",MN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,104100000X,https://npiregistry.cms.hhs.gov/provider-view/1003384231
1003802505,LIFECARE MEDICAL CENTER,MN,PART A PROVIDER - HOME HEALTH AGENCY,00-06,207RC0000X,251E00000X,https://npiregistry.cms.hhs.gov/provider-view/1003802505
1003809856,"BABO, CHRISTIAN",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC1900X,https://npiregistry.cms.hhs.gov/provider-view/1003809856
1003811571,GOOD SHEPHERD LUTHERAN HOME,MN,PART A PROVIDER - SKILLED NURSING FACILITY,00-18,"207W00000X,207WX0009X,207WX0107X,207WX0109X,207WX0110X+2",314000000X,https://npiregistry.cms.hhs.gov/provider-view/1003811571
1003816505,CHILDREN'S RESPIRATORY & CRITICAL CARE SPECIALISTS PA,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","208000000X,2080P0214X",https://npiregistry.cms.hhs.gov/provider-view/1003816505
1003830787,MARTY CHIROPRACTIC-EXCELSIOR INC.,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003830787
1003833187,"SELIM, MONA",MN,PRACTITIONER - CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),14-43,367500000X,163W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003833187
1003841404,"DONOVAN, KRISTINE",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1003841404
1003847211,KITTSON MEMORIAL HOSPITAL ASSOCIATION,MN,PART A PROVIDER - SKILLED NURSING FACILITY,00-18,"207W00000X,207WX0009X,207WX0107X,207WX0109X,207WX0110X+2",314000000X,https://npiregistry.cms.hhs.gov/provider-view/1003847211
1003848375,CENTERWELL CERTIFIED HEALTHCARE CORP,MN,PART A PROVIDER - HOME HEALTH AGENCY,00-06,207RC0000X,251E00000X,https://npiregistry.cms.hhs.gov/provider-view/1003848375
