npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003001322,NODAWAY COUNTY HEALTH CENTER,MO,PART B SUPPLIER - MASS IMMUNIZATION (ROSTER BILLER ONLY),12-73,,251K00000X,https://npiregistry.cms.hhs.gov/provider-view/1003001322
1003003476,"BUCK CHIROPRACTIC, LLC",MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003003476
1003016312,ADVANCED DERMATOLOGIC SURGERY PA,MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","174400000X,291U00000X",https://npiregistry.cms.hhs.gov/provider-view/1003016312
1003016676,"DESIRED HEALTH CHIROPRACTIC, LLC",MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003016676
1003017369,"MANSOOR, SHAHEEN",MO,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003017369
1003018201,"JAIN, RAHUL",MO,PRACTITIONER - CARDIAC ELECTROPHYSIOLOGY | PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),"14-06,14-21","207RC0000X,207RC0001X","207R00000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003018201
1003018417,APPLIED PSYCHOLOGICAL CENTER LLC,MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",261QM0801X,https://npiregistry.cms.hhs.gov/provider-view/1003018417
1003041625,"GRAHAM, GEOFFREY",MO,PRACTITIONER - GASTROENTEROLOGY,14-10,207RG0100X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003041625
1003045436,PREMIER PROSTHETICS AND ORTHOTICS,MO,DME SUPPLIER - PROSTHETIC PERSONNEL,30-56,"224P00000X,229N00000X",335E00000X,https://npiregistry.cms.hhs.gov/provider-view/1003045436
1003083791,"MCNORTON-MABIE, KRISTEL",MO,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003083791
1003086646,BAXTER COUNTY REGIONAL HOSPITAL INC,MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",208800000X,https://npiregistry.cms.hhs.gov/provider-view/1003086646
1003112558,J BOATMAN LLC,MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",163WP0809X,https://npiregistry.cms.hhs.gov/provider-view/1003112558
1003136151,"GRABOSCH, SHANNON",MO,PRACTITIONER - GYNECOLOGICAL ONCOLOGY,14-98,207VX0201X,"207V00000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003136151
1003152273,FOOT HEALERS HOLDINGS - ST LOUIS LLC,MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",213E00000X,https://npiregistry.cms.hhs.gov/provider-view/1003152273
1003154600,PINNACLE SENIOR CARE OF MISSOURI LLC,MO,PART A PROVIDER - HOME HEALTH AGENCY,00-06,207RC0000X,251E00000X,https://npiregistry.cms.hhs.gov/provider-view/1003154600
1003169657,ROBYN L LAWRENCE DC PC,MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","111N00000X,111NP0017X",https://npiregistry.cms.hhs.gov/provider-view/1003169657
1003173436,"JOHNSON, BRANDON",MO,PRACTITIONER - OTOLARYNGOLOGY,14-04,"207Y00000X,207YP0228X,207YS0012X,207YS0123X,207YX0007X+3",174400000X,https://npiregistry.cms.hhs.gov/provider-view/1003173436
1003179656,MERCY CLINIC OPHTHALMOLOGY LLC,MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003179656
1003181637,CAMDEN EMERGENCY GROUP LLC,MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207P00000X,363A00000X,363L00000X",https://npiregistry.cms.hhs.gov/provider-view/1003181637
1003195215,"AUGUSTINE, PHILIP",MO,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003195215
1003201104,"VON THAER, SARAH",MO,PRACTITIONER - ANESTHESIOLOGY,14-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003201104
1003201740,"GARRETT, MONICA",MO,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,104100000X,https://npiregistry.cms.hhs.gov/provider-view/1003201740
1003201955,MERCY HOSPITAL CARTHAGE,MO,PART A PROVIDER - CRITICAL ACCESS HOSPITAL | PART B SUPPLIER - CLINIC/GROUP PRACTICE,"00-85,12-70","193200000X,193400000X,204E00000X,261Q00000X,261QM1300X+1","207P00000X,207RC0000X,207RR0500X,2084N0400X,208600000X+3",https://npiregistry.cms.hhs.gov/provider-view/1003201955
1003205808,"BRAILSFORD, LATONYA",MO,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",376K00000X,https://npiregistry.cms.hhs.gov/provider-view/1003205808
1003211137,"MAHER, TIMOTHY",MO,ORDER AND REFERRING ONLY - OTHER (NON-PHYSICIAN),33-88,,1223E0200X,https://npiregistry.cms.hhs.gov/provider-view/1003211137
1003211798,THERAPY UNLIMITED,MO,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",261QH0700X,https://npiregistry.cms.hhs.gov/provider-view/1003211798
