npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1013274216,"LAPONSIE, SADIE",MP,PRACTITIONER - PEDIATRIC MEDICINE,14-37,"208000000X,2080A0000X,2080B0002X,2080C0008X,2080H0002X+19",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013274216
1023168010,MARIANAS EYE INSTITUTE INC,MP,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","152W00000X,207W00000X",https://npiregistry.cms.hhs.gov/provider-view/1023168010
1043665987,"MILES, TAYLOR",MP,PRACTITIONER - FAMILY PRACTICE | PRACTITIONER - INTERNAL MEDICINE,"14-08,14-11","207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+31",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1043665987
1053800946,"HALLBERG, TIANA",MP,PRACTITIONER - HOSPITALIST | PRACTITIONER - PEDIATRIC MEDICINE,"14-37,14-C6","208000000X,2080A0000X,2080B0002X,2080C0008X,2080H0002X+20",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1053800946
1063690451,MVN INC,MP,PART A PROVIDER - OUTPATIENT PHYSICAL THERAPY/OCCUPATIONAL THERAPY/SPEECH PATHOLOGY SERVICES,00-14,207T00000X,261QP2000X,https://npiregistry.cms.hhs.gov/provider-view/1063690451
1104092758,"WEINRICH, RAYMOND",MP,PRACTITIONER - PHYSICIAN ASSISTANT,14-97,"363A00000X,363AM0700X,363AS0400X",247200000X,https://npiregistry.cms.hhs.gov/provider-view/1104092758
1134126436,"WEBER, LISA",MP,PRACTITIONER - NEPHROLOGY,14-39,207RN0300X,174400000X,https://npiregistry.cms.hhs.gov/provider-view/1134126436
1144310723,MEDICAL ASSOCIATES OF THE PACIFIC LLC,MP,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1144310723
1154783918,"ROBERTSON, ELIZABETH",MP,PRACTITIONER - PEDIATRIC MEDICINE,14-37,"208000000X,2080A0000X,2080B0002X,2080C0008X,2080H0002X+19",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1154783918
1184028177,"CHEKOL, ASHEBIR",MP,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1184028177
1225009350,"LETARTE, JEAN",MP,PRACTITIONER - NEPHROLOGY,14-39,207RN0300X,174400000X,https://npiregistry.cms.hhs.gov/provider-view/1225009350
1225219520,TRI CORPORATION,MP,DME SUPPLIER - MEDICAL SUPPLY COMPANY,30-54,332B00000X,332BX2000X,https://npiregistry.cms.hhs.gov/provider-view/1225219520
1245362235,"SHINTANI, TERRY",MP,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",2083P0901X,https://npiregistry.cms.hhs.gov/provider-view/1245362235
1265752935,"HY, MARIA",MP,PRACTITIONER - OBSTETRICS/GYNECOLOGY,14-16,"207V00000X,207VB0002X,207VC0200X,207VC0300X,207VE0102X+6",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1265752935
1265868855,"ASHLEY, SARAH",MP,PRACTITIONER - EMERGENCY MEDICINE,14-93,"146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+3",208D00000X,https://npiregistry.cms.hhs.gov/provider-view/1265868855
1285858290,COMMONWEALTH HEALTHCARE CORPORATION,MP,PART A PROVIDER - END-STAGE RENAL DISEASE FACILITY (ESRD) | PART B SUPPLIER - CLINIC/GROUP PRACTICE,"00-03,12-70","193200000X,193400000X,207K00000X,207KA0200X,207KI0005X+3",261QE0700X,https://npiregistry.cms.hhs.gov/provider-view/1285858290
1295112878,"PHAM, MICHAEL",MP,PRACTITIONER - PEDIATRIC MEDICINE,14-37,"208000000X,2080A0000X,2080B0002X,2080C0008X,2080H0002X+19",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1295112878
