npi,name,this_state,other_states,enrollment_count,provider_types,nppes_lookup_url
1710272588,"SAEED, UROOJ",MP,"FL,GA,IN,KS,MI,MN,MO,MT,ND,OK,TX,WI",13,PRACTITIONER - PSYCHIATRY,https://npiregistry.cms.hhs.gov/provider-view/1710272588
1043665987,"MILES, TAYLOR",MP,"AK,GU,IL,MT,OK,OR,PA,SD,TX",10,PRACTITIONER - FAMILY PRACTICE | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1043665987
1871885194,"NGUYEN, QUY",MP,"FL,GA,KY,OR,TN,TX,VA,WA",9,PRACTITIONER - HOSPITALIST | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1871885194
1568564904,MILWAUKEE RADIOLOGISTS LTD,MP,"CA,CT,FL,IA,IL,MD,WI",8,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1568564904
1336370188,"NANABAWA, ZAKERA",MP,"CA,HI,IL,MO,SC",6,PRACTITIONER - OBSTETRICS/GYNECOLOGY,https://npiregistry.cms.hhs.gov/provider-view/1336370188
1477660983,"NGUYEN, TUAN",MP,"CA,GU,IA,KY,PA",6,PRACTITIONER - DIAGNOSTIC RADIOLOGY | PRACTITIONER - INTERVENTIONAL RADIOLOGY,https://npiregistry.cms.hhs.gov/provider-view/1477660983
1528252079,"MCNEELY, JONATHAN",MP,"GU,ID,ME,MT,WY",6,PRACTITIONER - HOSPITALIST | PRACTITIONER - INTERNAL MEDICINE | PRACTITIONER - NEPHROLOGY,https://npiregistry.cms.hhs.gov/provider-view/1528252079
1558663609,"LOOMIS, MELISSA",MP,"IA,KS,MO,OR,WA",6,PRACTITIONER - NURSE PRACTITIONER,https://npiregistry.cms.hhs.gov/provider-view/1558663609
1851704076,"ODIN, OLEG",MP,"GU,ND,NV,TX,WY",6,PRACTITIONER - CRITICAL CARE (INTENSIVISTS) | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1851704076
1225237944,"WELLS, HAMILTON",MP,"GU,MI,NC,WI",5,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1225237944
1265868855,"ASHLEY, SARAH",MP,"CA,NC,TX,VI",5,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1265868855
1336101567,"FISHER, TREVOR",MP,"TX,VI,WA,WI",5,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1336101567
1427165331,MEDICAL DIAGNOSTIC IMAGING LLC,MP,"CA,CT,IL,WI",5,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1427165331
1518020502,"LLOBET, PAUL",MP,"GU,NV,TX,VI",5,PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1518020502
1063426625,"SHERIDAN, INDRANI",MP,"AK,FL,TN",4,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1063426625
1093850182,"HAHN, ANGELA",MP,"IL,MI,OR",4,PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1093850182
1225030042,"FRANCE, RATCHNEE",MP,"GU,NM,TX",4,PRACTITIONER - EMERGENCY MEDICINE | PRACTITIONER - FAMILY PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1225030042
1285893990,"KONING, MICHAEL",MP,"CA,DE,ND",4,PRACTITIONER - ANESTHESIOLOGY | PRACTITIONER - NURSE PRACTITIONER,https://npiregistry.cms.hhs.gov/provider-view/1285893990
1396128336,"VISWANATHAN, KARTHIKEYAN",MP,"CA,TX",4,PRACTITIONER - FAMILY PRACTICE | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1396128336
1467746818,"TAYLOR, MICHAEL",MP,"IL,MN,TX",4,PRACTITIONER - PEDIATRIC MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1467746818
1508964552,"VYAS, PRITI",MP,"CT,NY,TX",4,PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1508964552
1699297788,"TSYRLIN, SEMJON",MP,"GA,GU,PR",4,PRACTITIONER - EMERGENCY MEDICINE | PRACTITIONER - FAMILY PRACTICE | PRACTITIONER - GENERAL PRACTICE | PRACTITIONER - HOSPITALIST,https://npiregistry.cms.hhs.gov/provider-view/1699297788
1699858225,"HOEKSTRA, KATHERINE",MP,"CO,MN,WY",4,PRACTITIONER - HOSPITALIST | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1699858225
1801855218,"WREN, KELLY",MP,"IL,VI,WI",4,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1801855218
1861856387,"NGUYEN, THU HA",MP,"TN,TX,WA",4,PRACTITIONER - GENERAL SURGERY,https://npiregistry.cms.hhs.gov/provider-view/1861856387
1891927893,"GRANT, AUSTIN",MP,"DC,VA,WV",4,PRACTITIONER - PHYSICIAN ASSISTANT,https://npiregistry.cms.hhs.gov/provider-view/1891927893
1982761888,"TAINTOR, ZEBULON",MP,"DC,NY,VA",4,PRACTITIONER - PSYCHIATRY,https://npiregistry.cms.hhs.gov/provider-view/1982761888
1033168323,"HERNANDEZ, DAVID",MP,"HI,TX",3,PRACTITIONER - OBSTETRICS/GYNECOLOGY,https://npiregistry.cms.hhs.gov/provider-view/1033168323
1053800946,"HALLBERG, TIANA",MP,"AZ,NM",3,PRACTITIONER - HOSPITALIST | PRACTITIONER - PEDIATRIC MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1053800946
1093714024,"GOODMAN, DAVID",MP,"NC,TX",3,PRACTITIONER - GENERAL SURGERY,https://npiregistry.cms.hhs.gov/provider-view/1093714024
1124070875,"RINEER, SCOTT",MP,"FL,GU",3,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1124070875
1124280334,"KAPLINSKY, KAIRA",MP,"FL,IL",3,PRACTITIONER - FAMILY PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1124280334
1134110109,"BLACK, IAN",MP,"CO,VT",3,PRACTITIONER - ANESTHESIOLOGY,https://npiregistry.cms.hhs.gov/provider-view/1134110109
1134405061,"CULWELL, THOMAS",MP,"AZ,TX",3,PRACTITIONER - ANESTHESIOLOGY ASSISTANT | PRACTITIONER - PHYSICIAN ASSISTANT,https://npiregistry.cms.hhs.gov/provider-view/1134405061
1144665316,"JARRETT, KELLI",MP,"GU,MT",3,PRACTITIONER - FAMILY PRACTICE | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1144665316
1194884528,"CHIU, LINGIE",MP,"CA,HI",3,PRACTITIONER - PEDIATRIC MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1194884528
1205071065,"ROLLE, TIMOTHY",MP,"HI,WI",3,PRACTITIONER - DIAGNOSTIC RADIOLOGY,https://npiregistry.cms.hhs.gov/provider-view/1205071065
1215130562,"ROULEAU, KEITH",MP,"AZ,CA",3,PRACTITIONER - PHYSICIAN ASSISTANT,https://npiregistry.cms.hhs.gov/provider-view/1215130562
1225009350,"LETARTE, JEAN",MP,"AS,AZ",3,PRACTITIONER - NEPHROLOGY,https://npiregistry.cms.hhs.gov/provider-view/1225009350
1265752935,"HY, MARIA",MP,"AR,CA",3,PRACTITIONER - OBSTETRICS/GYNECOLOGY,https://npiregistry.cms.hhs.gov/provider-view/1265752935
1306193727,"JANSEN, NICK",MP,"OK,TX",3,PRACTITIONER - PHYSICIAN ASSISTANT,https://npiregistry.cms.hhs.gov/provider-view/1306193727
1326689894,"ACKLEY, SUMER",MP,"AZ,VT",3,PRACTITIONER - NURSE PRACTITIONER,https://npiregistry.cms.hhs.gov/provider-view/1326689894
1336445055,"MACRIS, GEORGE",MP,"FL,HI",3,PRACTITIONER - INTERNAL MEDICINE | PRACTITIONER - UNDERSEA AND HYPERBARIC MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1336445055
1376806687,"WIEFERICH, KATHRYN",MP,"PA,WV",3,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1376806687
1427450568,"ANAGNOSTOU, ANTHONY",MP,"CA,TX",3,PRACTITIONER - GENERAL SURGERY,https://npiregistry.cms.hhs.gov/provider-view/1427450568
1437684123,"LOEZA, JAVIER",MP,"IN,MO",3,PRACTITIONER - HOSPITALIST | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1437684123
1437735503,"HINTON, SARAH",MP,"KS,MO",3,PRACTITIONER - CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),https://npiregistry.cms.hhs.gov/provider-view/1437735503
1457841595,"MCLAWHORN, DONALD",MP,"CA,NY",3,PRACTITIONER - PSYCHIATRY,https://npiregistry.cms.hhs.gov/provider-view/1457841595
1497994008,"GRANT, JEANOLIVIA",MP,"AL,TN",3,PRACTITIONER - FAMILY PRACTICE | PRACTITIONER - OBSTETRICS/GYNECOLOGY,https://npiregistry.cms.hhs.gov/provider-view/1497994008
1578759734,"STEARNS, JAY",MP,"GU,TX",3,PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1578759734
1578809794,"ELIAS, GEORGE",MP,"CA,ME",3,PRACTITIONER - GENERAL SURGERY,https://npiregistry.cms.hhs.gov/provider-view/1578809794
1588049092,"ENGLISH, MARGARET",MP,"TX,WA",3,PRACTITIONER - PHYSICIAN ASSISTANT,https://npiregistry.cms.hhs.gov/provider-view/1588049092
1588062145,"PLUMETTAZ, JOANNA",MP,"CA,TX",3,PRACTITIONER - PHYSICIAN ASSISTANT,https://npiregistry.cms.hhs.gov/provider-view/1588062145
1588792535,"KIRBY, LINDA",MP,"FL,LA",3,PRACTITIONER - PEDIATRIC MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1588792535
1598079956,"JARRELL, TODD",MP,"CT,GA",3,PRACTITIONER - FAMILY PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1598079956
1609185222,"MURPHY, JOANNE",MP,"NC,NM",3,PRACTITIONER - PHYSICIAN ASSISTANT,https://npiregistry.cms.hhs.gov/provider-view/1609185222
1619249034,"NICHOLS, TAYLOR",MP,"CA,OR",3,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1619249034
1619559879,"STANTON, GRACE",MP,"KS,MO",3,PRACTITIONER - CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),https://npiregistry.cms.hhs.gov/provider-view/1619559879
1619931227,"GENATO, JEFFREY",MP,"ID,TX",3,PRACTITIONER - HOSPITALIST | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1619931227
1669692059,"PACKIANATHAN, XAVIER",MP,"GU,MO",3,PRACTITIONER - DIAGNOSTIC RADIOLOGY | PRACTITIONER - INTERVENTIONAL RADIOLOGY,https://npiregistry.cms.hhs.gov/provider-view/1669692059
1669907077,"DICAMILLO, GREGORY",MP,"TX,WA",3,PRACTITIONER - EMERGENCY MEDICINE | PRACTITIONER - FAMILY PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1669907077
1689679607,"QUIROS, JUAN",MP,"CA,GU",3,PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),https://npiregistry.cms.hhs.gov/provider-view/1689679607
1699980367,"HIESTERMAN, MARK",MP,"MT,WA",3,PRACTITIONER - GENERAL SURGERY,https://npiregistry.cms.hhs.gov/provider-view/1699980367
1740269158,"MENDOZA, MANUEL",MP,"VI,WI",3,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1740269158
1750370383,"WILLIS, TIFFANY",MP,"GU,OK",3,PRACTITIONER - FAMILY PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1750370383
1760089841,"HOLLOWAY, JONATHAN",MP,"HI,WA",3,PRACTITIONER - NURSE PRACTITIONER,https://npiregistry.cms.hhs.gov/provider-view/1760089841
1811263601,"YALAMANCHILI, HIMA",MP,"LA,NV",3,PRACTITIONER - FAMILY PRACTICE | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1811263601
