npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003017732,"TROM, RACHAEL",ND,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",163W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003017732
1003052952,COAL COUNTRY COMMUNITY HEALTH CENTER,ND,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),00-04,"207Y00000X,207YP0228X,207YS0012X,207YS0123X,207YX0007X+3",207Q00000X,https://npiregistry.cms.hhs.gov/provider-view/1003052952
1003148644,"SKAR, MELANIE",ND,PRACTITIONER - PHYSICAL THERAPIST IN PRIVATE PRACTICE,14-65,"225100000X,2251C2600X,2251E1200X,2251E1300X,2251G0304X+6",2081N0008X,https://npiregistry.cms.hhs.gov/provider-view/1003148644
1003199829,"PLAINS EAR, NOSE, THROAT & FACIAL PLASTIC SURGERY PC",ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207YS0123X,https://npiregistry.cms.hhs.gov/provider-view/1003199829
1003201393,"HUGHLEY, ERICA",ND,PRACTITIONER - PEDIATRIC MEDICINE,14-37,"208000000X,2080A0000X,2080B0002X,2080C0008X,2080H0002X+19",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003201393
1003220948,"HALL, BRADLEY",ND,PRACTITIONER - PLASTIC AND RECONSTRUCTIVE SURGERY,14-24,"208200000X,2082S0099X,2082S0105X",208600000X,https://npiregistry.cms.hhs.gov/provider-view/1003220948
1003228180,INLINE CHIROPRACTIC PLLC,ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003228180
1003231812,"RAMSEY, DANIEL",ND,PRACTITIONER - DIAGNOSTIC RADIOLOGY | PRACTITIONER - OTHER (PHYSICIAN),"14-30,14-99","2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X+1",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003231812
1003253857,"WILT, ERICA",ND,PRACTITIONER - NEUROLOGY,14-13,"2084A2900X,2084E0001X,2084N0400X,2084N0402X,2085N0700X",2084N0008X,https://npiregistry.cms.hhs.gov/provider-view/1003253857
1003298316,"WILEBSKI, KYLE",ND,PRACTITIONER - ANESTHESIOLOGY,14-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1","208D00000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003298316
1003309493,"BEATROUS, BRITTON",ND,PRACTITIONER - OTOLARYNGOLOGY,14-04,"207Y00000X,207YP0228X,207YS0012X,207YS0123X,207YX0007X+3",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003309493
1003337973,"MANSOUR, ABDALLAH",ND,PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),14-06,207RC0000X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003337973
1003353889,"ZABKA, ASHLEY",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",171M00000X,https://npiregistry.cms.hhs.gov/provider-view/1003353889
1003369851,"ABBAS, YAWAR",ND,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003369851
1003393828,"VIVID VISION CARE, PLLC",ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",152W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003393828
1003809948,"KIDNEY INSTITUTE OF NORTH DAKOTA, LLC",ND,PART A PROVIDER - END-STAGE RENAL DISEASE FACILITY (ESRD),00-03,"207K00000X,207KA0200X,207KI0005X",261QE0700X,https://npiregistry.cms.hhs.gov/provider-view/1003809948
