npi,name,this_state,other_states,enrollment_count,provider_types,nppes_lookup_url
1053541581,"THARPE, CHET",OK,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,VA,VT,WA,WI,WV,WY",52,PRACTITIONER - ALLERGY/IMMUNOLOGY | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1053541581
1083858849,"STANLEY, JEFFREY",OK,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1083858849
1093225138,VIRTA MEDICAL PC,OK,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1093225138
1164519294,"FIECHTL, JAMES",OK,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,PRACTITIONER - EMERGENCY MEDICINE | PRACTITIONER - SPORTS MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1164519294
1295924140,"CHUN, TRISSY",OK,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1295924140
1013303080,ACCESS TELECARE PLLC,OK,"AL,AR,AZ,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",50,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1013303080
1720371537,"SNYDER, RYAN",OK,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY",50,PRACTITIONER - EMERGENCY MEDICINE | PRACTITIONER - INTERNAL MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1720371537
1063979128,"MACK, BRIAN",OK,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WI,WV,WY",49,PRACTITIONER - NURSE PRACTITIONER,https://npiregistry.cms.hhs.gov/provider-view/1063979128
1164719506,"KIKUHARA, KEI",OK,"AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WY",49,PRACTITIONER - EMERGENCY MEDICINE,https://npiregistry.cms.hhs.gov/provider-view/1164719506
1316483464,"HUNT, CAMILLE",OK,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NM,NV,NY,OH,OR,PA,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",49,PRACTITIONER - PHYSICAL THERAPIST IN PRIVATE PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1316483464
