org_id,org_npi,org_name,org_city,org_state,practitioners,tier,endpoint,vendor,evidence
Organization-1619935004,1619935004,UNIVERSITY OF PITTSBURGH PHYSICIANS,ALLISON PARK,PA,5096,alias,https://epic-fhir-prd.upmc.com/fhir-prd/api/fhir/r4,Epic,curated alias to 'UPMC': University of Pittsburgh Physicians is UPMC's employed physician group; UPMC publishes it 
Organization-1366493868,1366493868,GEISINGER CLINIC,ALTOONA,PA,4036,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
Organization-1457309650,1457309650,LEHIGH VALLEY PHYSICIAN GROUP,ALBRIGHTSVILLE,PA,2469,brand-state,https://proxy.lvh.com/fhir/api/fhir/r4,Epic,2-token brand prefix matches 'Lehigh Valley Health Network' in PA
Organization-1669770004,1669770004,WELLSPAN MEDICAL GROUP,ANNVILLE,PA,2441,brand-state,https://interconnect.wellspan.org/interconnect-prd-oauth2/api/fhir/r4,Epic,1-token brand prefix matches 'WellSpan' in PA
Organization-1073081493,1073081493,ALLEGHENY CLINIC,ALIQUIPPA,PA,2285,alias,https://epicprisfd.ahn.org/prd-fhir/api/fhir/r4,Epic,curated alias to 'Allegheny Health Network': Allegheny Clinic is the employed physician organization of Allegheny Health Network.
Organization-1700984622,1700984622,ST LUKE'S PHYSICIAN GROUP INC,ALBRIGHTSVILLE,PA,2148,brand-state,https://fhir.slhn.org/fhir/api/fhir/r4,Epic,3-token brand prefix matches 'St Luke's' in PA
Organization-1235527342,1235527342,UNIVERSITY OF PENN-MEDICAL GROUP,BALA CYNWYD,PA,2057,alias,https://ssproxy.pennhealth.com/prd-fhir/api/fhir/r4,Epic,curated alias to 'Penn Medicine': The University of Pennsylvania Health System trades as Penn Medicine.
Organization-1710951744,1710951744,THE MILTON S HERSHEY MEDICAL CENTER PHYSICIANS GROUP,ANNVILLE,PA,1585,unresolved,,,
Organization-1922077643,1922077643,MAIN LINE HEALTHCARE,ARDMORE,PA,1502,brand-state,https://epicproxy.et1007.epichosted.com/fhirproxy/launch/api/fhir/r4,Epic,2-token brand prefix matches 'Main Line Health' in PA
Organization-1326093675,1326093675,JEFFERSON UNIVERSITY PHYSICIANS,ABINGTON,PA,1481,unresolved,,,
Organization-1932143427,1932143427,PINNACLE HEALTH MEDICAL SERVICES,ANNVILLE,PA,1462,alias,https://epic-fhir-prd.upmc.com/fhir-prd/api/fhir/r4,Epic,curated alias to 'UPMC': PinnacleHealth was acquired by UPMC in 2017 and operates as UPMC in Central Pa.
Organization-1033125455,1033125455,UNIVERSITY OF PITTSBURGH PHYSICIANS,Pittsburgh,PA,1380,alias,https://epic-fhir-prd.upmc.com/fhir-prd/api/fhir/r4,Epic,curated alias to 'UPMC': University of Pittsburgh Physicians is UPMC's employed physician group; UPMC publishes it 
Organization-1881176949,1881176949,TEMPLE FACULTY PRACTICE PLAN INC,BALA CYNWYD,PA,1279,unresolved,,,
Organization-1376518365,1376518365,GEISINGER CLINIC,Danville,PA,1262,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
Organization-1144876137,1144876137,GEISINGER-HM JOINT VENTURE LLC,ASHEVILLE,NC,1227,unresolved,,,
Organization-1609291350,1609291350,TOWER HEALTH MEDICAL GROUP,BERNVILLE,PA,1160,brand-state,https://epicsoap.readinghospital.org/fhir-prd/api/fhir/r4,Epic,2-token brand prefix matches 'Tower Health' in PA
Organization-1366006702,1366006702,GSLPG INC,HAMBURG,PA,1122,unresolved,,,
Organization-1558976092,1558976092,UPMC COMMUNITY MEDICINE INC,ALLISON PARK,PA,1020,alias,https://epic-fhir-prd.upmc.com/fhir-prd/api/fhir/r4,Epic,curated alias to 'UPMC': Named UPMC in its own legal business name.
Organization-1598869059,1598869059,CHILDRENS HEALTH CARE ASSOCIATES INC,ABINGTON,PA,936,unresolved,,,
Organization-1174520654,1174520654,REGIONAL HEALTH SERVICES INC,BRADFORD,PA,920,alias,https://epic-fhir-prd.upmc.com/fhir-prd/api/fhir/r4,Epic,curated alias to 'UPMC': Bradford Regional and Elk Regional joined UPMC as UPMC Cole and UPMC Bradford.
Organization-1861988644,1861988644,PENN STATE HEALTH MEDICAL GROUP LLC,ANNVILLE,PA,857,unresolved,,,
Organization-1326092503,1326092503,FOX REHABILITATION SERVICES INC,ALLENTOWN,PA,831,unresolved,,,
Organization-1962451153,1962451153,GUTHRIE MEDICAL GROUP PC,ATHENS,PA,782,brand-state,https://fhir.guthrie.org/fhir-prd/api/fhir/r4,Epic,1-token brand prefix matches 'Guthrie' in PA
Organization-1760434468,1760434468,EINSTEIN PRACTICE PLAN INC,ALLENTOWN,PA,769,unresolved,,,
Organization-1669480034,1669480034,LEHIGH VALLEY PHYSICIAN GROUP,Allentown,PA,700,brand-state,https://proxy.lvh.com/fhir/api/fhir/r4,Epic,2-token brand prefix matches 'Lehigh Valley Health Network' in PA
Organization-1972682995,1972682995,CLINICAL CARE ASSOCIATES OF THE UNIVERSITY OF PENNSYLVANIA HEALTH,BALA CYNWYD,PA,688,unresolved,,,
Organization-1750488029,1750488029,ST LUKE'S PHYSICIAN GROUP INC,Blandon,PA,674,brand-state,https://fhir.slhn.org/fhir/api/fhir/r4,Epic,3-token brand prefix matches 'St Luke's' in PA
Organization-1275533515,1275533515,ALLEGHENY CLINIC,Brackenridge,PA,672,alias,https://epicprisfd.ahn.org/prd-fhir/api/fhir/r4,Epic,curated alias to 'Allegheny Health Network': Allegheny Clinic is the employed physician organization of Allegheny Health Network.
Organization-1568819084,1568819084,PROSPECT HEALTH ACCESS NETWORK INC,BROOMALL,PA,650,unresolved,,,
Organization-1639137854,1639137854,NORTH AMERICAN PARTNERS IN ANESTHESIA PENNSYLVANIA LLC,CHALFONT,PA,649,unresolved,,,
Organization-1134178635,1134178635,GUTHRIE MEDICAL GROUP PC,ALBERTSON,NY,631,brand-state,https://fhir.guthrie.org/fhir-prd/api/fhir/r4,Epic,1-token brand prefix matches 'Guthrie' in NY
Organization-1952392383,1952392383,LANCASTER GENERAL MEDICAL GROUP,ABBEYVILLE,PA,608,alias,https://ssproxy.pennhealth.com/prd-fhir/api/fhir/r4,Epic,curated alias to 'Penn Medicine': Lancaster General Health joined the University of Pennsylvania Health System in 2015 and t
Organization-1245845932,1245845932,GROW HEALTHCARE GROUP PA,ALBUQUERQUE,NM,598,unresolved,,,
Organization-1932515905,1932515905,DLP CONEMAUGH PHYSICIAN PRACTICES LLC,BEDFORD,PA,551,unresolved,,,
Organization-1821225202,1821225202,EXCELA HEALTH PHYSICIAN PRACTICES INC,BLAIRSVILLE,PA,520,unresolved,,,
Organization-1154376937,1154376937,FAMILY PRACTICE CENTER PC,BLOOMBURG,PA,498,unresolved,,,
Organization-1588603567,1588603567,SCHUYLKILL HEALTH SYSTEM MEDICAL GROUP INC,FRACKVILLE,PA,469,unresolved,,,
Organization-1053447151,1053447151,UNIVERSITY OF PENN - MEDICAL GROUP,PHILADELPHIA,PA,468,alias,https://ssproxy.pennhealth.com/prd-fhir/api/fhir/r4,Epic,curated alias to 'Penn Medicine': The University of Pennsylvania Health System trades as Penn Medicine.
