ccn,name,city,county,county_fips,zip,hospital_type,critical_access,ownership,emergency_services,health_system,county_rural,county_rucc,in_cehrt_bundle,endpoint_resolvable,org_endpoint_linked,ehr_vendor,vendor_record_synthetic,match_method
390001,GEISINGER-COMMUNITY MEDICAL CENTER,SCRANTON,LACKAWANNA,42069,18510,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Geisinger,False,2,True,True,False,Epic,False,name_city_exact
390002,UPMC MCKEESPORT HOSPITAL,MC KEESPORT,ALLEGHENY,42003,15132,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,1,True,True,True,athenahealth,False,name_city_exact
390003,GEISINGER-BLOOMSBURG HOSPITAL,BLOOMSBURG,COLUMBIA,42037,17815,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Geisinger,True,4,True,True,False,Epic,False,name_city_exact
390004,PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,CAMP HILL,CUMBERLAND,42041,17011,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Penn State Health,False,2,False,False,False,,False,
390006,GEISINGER MEDICAL CENTER,DANVILLE,MONTOUR,42093,17822,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Geisinger,True,6,True,True,False,Epic,False,name_city_exact
390009,SAINT VINCENT HOSPITAL,ERIE,ERIE,42049,16544,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,2,True,True,False,Epic,False,name_city_exact
390012,JEFFERSON LANSDALE HOSPITAL,LANSDALE,MONTGOMERY,42091,19446,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Jefferson Health,False,1,True,True,False,Epic,False,name_city_exact
390013,WELLSPAN EVANGELICAL COMMUNITY HOSPITAL,LEWISBURG,UNION,42119,17837,Acute Care Hospitals,False,Voluntary non-profit - Private,True,WellSpan Health,True,6,True,True,False,Epic,False,name_city_exact
390016,UPMC JAMESON,NEW CASTLE,LAWRENCE,42073,16105,Acute Care Hospitals,False,Voluntary non-profit - Other,True,UPMC,False,1,True,True,False,Epic,False,name_city_exact
39001F,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA),ALTOONA,BLAIR,42013,16602,Acute Care - Veterans Administration,False,Veterans Health Administration,False,Veterans Health Administration,False,3,False,False,False,,False,
390025,KENSINGTON HOSPITAL,PHILADELPHIA,PHILADELPHIA,42101,19122,Acute Care Hospitals,False,Voluntary non-profit - Other,False,,False,1,True,True,True,Practice Fusion,False,name_city_token
390026,TEMPLE HEALTH - CHESTNUT HILL HOSPITAL,PHILADELPHIA,PHILADELPHIA,42101,19118,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Temple Health,False,1,True,True,False,Epic,False,name_city_exact
390027,TEMPLE UNIVERSITY HOSPITAL,PHILADELPHIA,PHILADELPHIA,42101,19140,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Temple Health,False,1,True,True,True,Carepaths Inc,False,name_city_token
390028,UPMC MERCY,PITTSBURGH,ALLEGHENY,42003,15219,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,1,True,True,False,Epic,False,name_city_exact
390030,SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,POTTSVILLE,SCHUYLKILL,42107,17901,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,True,4,True,True,False,Epic,False,name_city_token
390032,ALLEGHENY VALLEY HOSPITAL,NATRONA,ALLEGHENY,42003,15065,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Allegheny Health Network,False,1,False,False,False,,False,
390035,ST LUKE'S HOSPITAL - UPPER BUCKS CAMPUS,QUAKERTOWN,BUCKS,42017,18951,Acute Care Hospitals,False,Proprietary,True,St. Luke's University Health Network,False,1,True,True,False,Epic,False,name_city_exact
390036,HERITAGE VALLEY BEAVER,BEAVER,BEAVER,42007,15009,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Heritage Valley Health System,False,1,True,True,True,athenahealth,False,name_city_exact
390037,HERITAGE VALLEY SEWICKLEY,SEWICKLEY,ALLEGHENY,42003,15143,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Heritage Valley Health System,False,1,False,False,False,,False,
390039,UPMC SOMERSET,SOMERSET,SOMERSET,42111,15501,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,True,6,True,True,False,Epic,False,name_city_exact
390041,UNIONTOWN HOSPITAL,UNIONTOWN,FAYETTE,42051,15401,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,False,Epic,False,name_city_exact
390042,"WASHINGTON HOSPITAL, THE",WASHINGTON,WASHINGTON,42125,15301,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,True,Darena Health,False,name_city_exact
390044,READING HOSPITAL,WEST READING,BERKS,42011,19611,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,2,True,True,False,Epic,False,name_city_exact
390045,UPMC WILLIAMSPORT,WILLIAMSPORT,LYCOMING,42081,17701,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,3,True,True,False,Epic,False,name_city_exact
390046,WELLSPAN YORK HOSPITAL,YORK,YORK,42133,17403,Acute Care Hospitals,False,Voluntary non-profit - Private,True,WellSpan Health,False,2,True,True,False,Epic,False,name_city_exact
390048,GEISINGER-LEWISTOWN HOSPITAL,LEWISTOWN,MIFFLIN,42087,17044,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Geisinger,True,4,True,True,False,Epic,False,name_city_exact
390049,ST LUKES HOSPITAL,BETHLEHEM,NORTHAMPTON,42095,18015,Acute Care Hospitals,False,Voluntary non-profit - Private,True,St. Luke's University Health Network,False,2,True,True,True,athenahealth,False,name_city_exact
39004F,COATESVILLE VA MEDICAL CENTER,COATESVILLE,CHESTER,42029,19320,Acute Care - Veterans Administration,False,Veterans Health Administration,False,Veterans Health Administration,False,1,True,True,False,Epic,False,name_city_token
390050,ALLEGHENY GENERAL HOSPITAL,PITTSBURGH,ALLEGHENY,42003,15212,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Allegheny Health Network,False,1,True,True,False,Epic,False,name_city_exact
390056,PENN HIGHLANDS HUNTINGDON,HUNTINGDON,HUNTINGDON,42061,16652,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Penn Highlands Healthcare,True,6,True,True,True,MEDITECH,False,name_city_exact
