npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003016775,"DIAZ, ANTONIO",PR,PRACTITIONER - NEPHROLOGY,14-39,207RN0300X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003016775
1003039421,CENTRAL PRIMARY CARE GROUP INC,PR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",208D00000X,https://npiregistry.cms.hhs.gov/provider-view/1003039421
1003071754,"JUSTINIANO, ELSA",PR,ORDER AND REFERRING ONLY - ORAL SURGERY,33-19,"1223S0112X,207WX0108X",122300000X,https://npiregistry.cms.hhs.gov/provider-view/1003071754
1003104464,"GALLARDO, DIEGO",PR,PRACTITIONER - MAXILLOFACIAL SURGERY,14-85,204E00000X,1223S0112X,https://npiregistry.cms.hhs.gov/provider-view/1003104464
1003131707,"MEDERO, NITZA",PR,PRACTITIONER - PHYSICAL THERAPIST IN PRIVATE PRACTICE,14-65,"225100000X,2251C2600X,2251E1200X,2251E1300X,2251G0304X+6",174400000X,https://npiregistry.cms.hhs.gov/provider-view/1003131707
1003131996,"RIVERA BURGOS, ILEANA",PR,PRACTITIONER - RHEUMATOLOGY,14-66,207RR0500X,"133N00000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003131996
1003185455,HOSPITAL MENONITA CAGUAS INC,PR,PART A PROVIDER - HOSPITAL,00-09,208VP0014X,282N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003185455
1003218637,POLICLINICA DEL CARIBE PSC,PR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",208D00000X,https://npiregistry.cms.hhs.gov/provider-view/1003218637
1003220153,I & C PSC,PR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207RC0000X,https://npiregistry.cms.hhs.gov/provider-view/1003220153
1003221458,"RODRIGUEZ BURY, VINCENT",PR,PRACTITIONER - UROLOGY,14-34,"208800000X,2088F0040X,2088P0231X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003221458
1003225509,TRUJILLO MEDICAL CORPORATION,PR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",208D00000X,https://npiregistry.cms.hhs.gov/provider-view/1003225509
1003231226,DELIZ ASMAR ORTHOPEDIC SERVICES PSC,PR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207XS0114X,https://npiregistry.cms.hhs.gov/provider-view/1003231226
1003251224,"HERNANDEZ PONS, MUAY",PR,PRACTITIONER - HEMATOLOGY/ONCOLOGY,14-83,207RH0003X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003251224
1003255431,"PEREZ SANTIAGO, JUAN",PR,PRACTITIONER - PHYSICAL MEDICINE AND REHABILITATION,14-25,"208100000X,2081H0002X,2081N0008X,2081P0004X,2081P0010X+2",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003255431
1003261280,"CARDONA, ROCIO",PR,PRACTITIONER - DERMATOLOGY,14-07,"207N00000X,207ND0101X,207ND0900X,207NI0002X,207NP0225X+1",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003261280
1003321316,BROMEDICON LLC,PR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",204R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003321316
1003328808,"DAVILA MICHEO, RAFAEL",PR,PRACTITIONER - GENERAL PRACTICE,14-01,208D00000X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003328808
1003330317,"PABON CARTAGENA, GABRIELA",PR,PRACTITIONER - DERMATOLOGY,14-07,"207N00000X,207ND0101X,207ND0900X,207NI0002X,207NP0225X+1",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003330317
1003342494,"SEPULVEDA GARCIA, LUIS",PR,PRACTITIONER - ENDOCRINOLOGY,14-46,207RE0101X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003342494
1003366527,CENTRO DE CANCER DE LA UNIVERSIDAD,PR,PART A PROVIDER - HOSPITAL,00-09,208VP0014X,284300000X,https://npiregistry.cms.hhs.gov/provider-view/1003366527
1003368168,"ORTIZ ARROYO, KEYLA",PR,PRACTITIONER - REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,14-71,"133V00000X,133VN1004X,133VN1005X,133VN1006X,133VN1101X+4",133NN1002X,https://npiregistry.cms.hhs.gov/provider-view/1003368168
1003373192,"CUESTA CAMUNAS, BRAULIO",PR,PRACTITIONER - HEMATOLOGY/ONCOLOGY,14-83,207RH0003X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003373192
1003384744,"HERNANDEZ MUNIZ, LUIS",PR,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003384744
