npi,name,this_state,other_states,enrollment_count,provider_types,nppes_lookup_url
1013303080,ACCESS TELECARE PLLC,PR,"AL,AR,AZ,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",50,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1013303080
1861478489,RADIOLOGY ALLIANCE PC,PR,"AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",49,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1861478489
1093782070,"MORI, BEAN AND BROOKS, INC.",PR,"AK,AL,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",48,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1093782070
1932342029,VIRTUAL RADIOLOGIC PROFESSIONALS LLC,PR,"AK,AL,AR,AZ,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,OK,OR,PA,RI,SC,SD,TN,UT,VA,VT,WA,WI,WV",48,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1932342029
1972004489,SMI IMAGING LLC,PR,"AK,AL,AZ,CA,CO,CT,DC,FL,GA,HI,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WV",46,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1972004489
1538107875,"SINGLETON ASSOCIATES, PA",PR,"AL,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,KS,KY,LA,MA,MD,ME,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,WA,WI,WV,WY",45,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1538107875
1144872052,GOLDEN STATE IMAGING ASSOCIATES INC,PR,"AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NH,NJ,NV,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,WA,WI,WV,WY",44,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1144872052
1477830818,SIMONMED IMAGING FLORIDA LLC,PR,"AK,AL,AR,AZ,CA,CO,CT,DC,FL,GA,HI,ID,IL,IN,KS,KY,MA,MD,MI,MN,MO,NC,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,TN,TX,UT,VA,VT,WA,WV,WY",42,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1477830818
1659930998,HOWARD SIMON MD PLLC,PR,"AL,AZ,CA,CO,CT,DC,FL,GA,HI,ID,IL,IN,KY,MA,MD,ME,MI,MN,MO,MT,NC,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,VA,VT,WA,WI,WV",42,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1659930998
1255962783,EMPIRE STATE RADIOLOGY P C,PR,"AL,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,ID,IL,KS,KY,LA,MA,MD,ME,MI,MN,MT,NC,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI",41,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1255962783
1841687951,"SPECIALISTS IN MEDICAL IMAGING, SC",PR,"AL,AZ,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NY,OH,OK,RI,SC,TN,TX,UT,VA,VT,WA,WI,WV",40,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1841687951
1093718496,RIVERSIDE RADIOLOGY AND INTERVENTIONAL ASSOCIATES INC,PR,"AL,AZ,CA,CO,CT,DC,FL,GA,HI,IA,IL,IN,KS,KY,MA,MD,MI,MN,MO,MS,NC,NJ,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",38,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1093718496
1275523169,CENTRAL VALLEY IMAGING MEDICAL ASSOCIATES INC,PR,"AK,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IL,KS,KY,LA,MA,MD,ME,MI,MN,MS,NC,NE,NJ,NV,NY,OH,OK,OR,PA,TN,TX,UT,VA,VT,WA,WI,WY",38,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1275523169
1447244587,CROUSE RADIOLOGY ASSOCIATES LLP,PR,"AK,AZ,CA,CO,CT,DC,FL,GA,GU,HI,ID,IL,KS,KY,MA,MD,MI,MN,MO,MS,NC,ND,NH,NJ,NV,NY,OH,OR,PA,SC,TN,TX,UT,VA,WA,WI,WV",38,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1447244587
1528299989,FOCUS MEDICAL IMAGING,PR,"AL,AZ,CA,CO,DC,DE,FL,GA,HI,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,TX,UT,VA,VT,WA,WI,WY",38,PART B SUPPLIER - CLINIC/GROUP PRACTICE,https://npiregistry.cms.hhs.gov/provider-view/1528299989
