npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003009069,LIBERTY MEDICAL SPECIALTIES INC,SC,DME SUPPLIER - OXYGEN & EQUIPMENT,30-B1,332BX2000X,332B00000X,https://npiregistry.cms.hhs.gov/provider-view/1003009069
1003027764,"BUCK, TONDRE",SC,PRACTITIONER - MEDICAL ONCOLOGY,14-90,207RX0202X,"207R00000X,207RH0000X,207RH0003X",https://npiregistry.cms.hhs.gov/provider-view/1003027764
1003040502,SYNERGY ANESTHESIOLOGY INC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",367500000X,https://npiregistry.cms.hhs.gov/provider-view/1003040502
1003047184,"HOME PHYSICIAN CARE, LLC",SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207P00000X,251E00000X,363LA2200X,363LF0000X",https://npiregistry.cms.hhs.gov/provider-view/1003047184
1003070103,MONCKS CORNER PEDIATRICS LLC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","208000000X,261QR1300X",https://npiregistry.cms.hhs.gov/provider-view/1003070103
1003096058,CAROLINA COASTAL PLASTIC AND RECONSTRUCTIVE SURGERY INC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",2086S0122X,https://npiregistry.cms.hhs.gov/provider-view/1003096058
1003110677,CHARLOTTE RADIOLOGY P A,SC,PART B SUPPLIER - MAMMOGRAPHY CENTER,12-45,"261QR0207X,261QR0208X",2085R0202X,https://npiregistry.cms.hhs.gov/provider-view/1003110677
1003113168,"EAU CLAIRE COOPERATIVE HEALTH CENTER, INC.",SC,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),00-04,"207Y00000X,207YP0228X,207YS0012X,207YS0123X,207YX0007X+3",261QF0400X,https://npiregistry.cms.hhs.gov/provider-view/1003113168
1003120817,"CRUISE, CHELSEA",SC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"103K00000X,104100000X",https://npiregistry.cms.hhs.gov/provider-view/1003120817
1003158908,"DEFORD, MARK",SC,PRACTITIONER - PHYSICAL MEDICINE AND REHABILITATION,14-25,"208100000X,2081H0002X,2081N0008X,2081P0004X,2081P0010X+2",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003158908
1003165028,"KNIPPERS, HILARY",SC,ORDER AND REFERRING ONLY - INTERNAL MEDICINE,33-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",363LF0000X,https://npiregistry.cms.hhs.gov/provider-view/1003165028
1003177361,"UPADHYAYA, PRASHANT",SC,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003177361
1003177395,DIANE ONEILL LISW LLC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1003177395
1003197328,"SC PAIN & SPINE SPECIALISTS, LLC",SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",2081P2900X,https://npiregistry.cms.hhs.gov/provider-view/1003197328
1003202565,"ANDERSON, DANIEL",SC,PRACTITIONER - PATHOLOGY,14-22,"207ZB0001X,207ZC0006X,207ZC0008X,207ZC0500X,207ZD0900X+11",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003202565
1003205808,"BRAILSFORD, LATONYA",SC,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",376K00000X,https://npiregistry.cms.hhs.gov/provider-view/1003205808
1003227976,"MAHALINGASHETTY, ABHIJIT",SC,PRACTITIONER - PULMONARY DISEASE,14-29,207RP1001X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003227976
1003232992,"MEACHEM, KATRINA",SC,PRACTITIONER - HOSPITALIST | PRACTITIONER - INTERNAL MEDICINE,"14-11,14-C6","207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+22",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003232992
1003233586,INSYTE LLC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",152W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003233586
1003234451,"PURI, SHRUTI",SC,PRACTITIONER - INFECTIOUS DISEASE,14-44,207RI0200X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003234451
1003235029,"DOUGLAS, ASHLEY",SC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1003235029
1003239575,"MILLS-GREGORY, KRISTINA",SC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1003239575
1003251166,"EADDY, ANDRE",SC,PRACTITIONER - GASTROENTEROLOGY,14-10,207RG0100X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003251166
1003253857,"WILT, ERICA",SC,PRACTITIONER - NEUROLOGY,14-13,"2084A2900X,2084E0001X,2084N0400X,2084N0402X,2085N0700X",2084N0008X,https://npiregistry.cms.hhs.gov/provider-view/1003253857
1003255548,"DAVIS, NATHAN",SC,PRACTITIONER - NEUROSURGERY,14-14,207T00000X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003255548
1003256165,"ARAFAT, SAMER",SC,PRACTITIONER - OPTOMETRY,14-41,"152W00000X,152WC0802X,152WL0500X,152WP0200X,152WS0006X+2",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003256165
1003258328,"BARTUSCH, SARAH",SC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1003258328
1003266065,"DHULIPALA, VISHAL",SC,PRACTITIONER - INTERVENTIONAL CARDIOLOGY,14-C3,207RI0011X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003266065
1003273517,ANA ANESTHESIA LLC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",367500000X,https://npiregistry.cms.hhs.gov/provider-view/1003273517
1003280108,SOUTHEASTERN HOSPITALIST SERVICES PC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207Q00000X,207R00000X,208M00000X,363A00000X,363L00000X",https://npiregistry.cms.hhs.gov/provider-view/1003280108
1003288093,CAROLINAS PHYSICIANS NETWORK INC,SC,DME SUPPLIER - PHYSICIAN - GENERAL PRACTICE,30-01,208D00000X,"207Q00000X,207R00000X",https://npiregistry.cms.hhs.gov/provider-view/1003288093
1003295171,"ANDREW, WILLIAMS",SC,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003295171
1003299223,"MADALA, SEETHARAMPRASAD",SC,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003299223
1003302019,"ALHOUSANI, MOHAMMAD",SC,PRACTITIONER - HEMATOLOGY/ONCOLOGY,14-83,207RH0003X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003302019
1003304940,"SHAH, ROSHAN",SC,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003304940
