npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003073461,"WASEKAR, CHETAN",SD,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21","208M00000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003073461
1003127903,"GOUGH, ANDREW",SD,PRACTITIONER - EMERGENCY MEDICINE,14-93,"146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+3",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003127903
1003168980,DEADWOOD EYE CARE LLC,SD,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",152W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003168980
1003287079,"WILSON, JEFFREY",SD,PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY) | PRACTITIONER - INTERVENTIONAL CARDIOLOGY,"14-06,14-C3","207RC0000X,207RI0011X",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003287079
1003298373,"JANIKOWSKI, CLIFF",SD,PRACTITIONER - PULMONARY DISEASE,14-29,207RP1001X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003298373
1003304486,"ZEIGLER, BETHANY",SD,PRACTITIONER - FAMILY PRACTICE,14-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003304486
1003349903,"HUSHAGEN, KIMBERLY",SD,PRACTITIONER - PEDIATRIC MEDICINE,14-37,"208000000X,2080A0000X,2080B0002X,2080C0008X,2080H0002X+19",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003349903
1003803818,WAKONDA HERITAGE MANOR,SD,PART A PROVIDER - SKILLED NURSING FACILITY,00-18,"207W00000X,207WX0009X,207WX0107X,207WX0109X,207WX0110X+2",314000000X,https://npiregistry.cms.hhs.gov/provider-view/1003803818
1003818006,FREEMAN REGIONAL HEALTH SERVICES,SD,PART A PROVIDER - CRITICAL ACCESS HOSPITAL | PART B SUPPLIER - MASS IMMUNIZATION (ROSTER BILLER ONLY),"00-85,12-73",",204E00000X",282NC0060X,https://npiregistry.cms.hhs.gov/provider-view/1003818006
1003825738,COTEAU DES PRAIRIES HOSPITAL,SD,PART A PROVIDER - HOME HEALTH AGENCY,00-06,207RC0000X,"251E00000X,275N00000X",https://npiregistry.cms.hhs.gov/provider-view/1003825738
1003867029,AVERA ST LUKES,SD,PART A PROVIDER - HOSPITAL,00-09,208VP0014X,"273R00000X,283Q00000X",https://npiregistry.cms.hhs.gov/provider-view/1003867029
1003871419,"MIDWEST EAR, NOSE & THROAT ASSOCIATES P C",SD,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1003871419
1003879958,DOUGLAS COUNTY MEMORIAL HOSPITAL,SD,PART A PROVIDER - RURAL HEALTH CLINIC,00-17,"207LH0002X,207PH0002X,207QH0002X,207RH0002X,207VH0002X+2",261QR1300X,https://npiregistry.cms.hhs.gov/provider-view/1003879958
1003887266,AVERA GETTYSBURG,SD,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,00-85,204E00000X,282NC0060X,https://npiregistry.cms.hhs.gov/provider-view/1003887266
1003927666,"VOIGT, CHARLES",SD,PRACTITIONER - DIAGNOSTIC RADIOLOGY,14-30,"2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X",2085R0204X,https://npiregistry.cms.hhs.gov/provider-view/1003927666
1003956897,"WILLIAMS, JODI",SD,ORDER AND REFERRING ONLY - MENTAL HEALTH COUNSELOR,33-E2,"101YM0800X,101YP2500X",101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1003956897
1003961145,FAMILY SERVICE INC,SD,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1003961145
1003981408,"OLIVIER, MICHAEL",SD,PRACTITIONER - GENERAL PRACTICE,14-01,208D00000X,208000000X,https://npiregistry.cms.hhs.gov/provider-view/1003981408
1003982893,AVERA AT HOME,SD,PART A PROVIDER - HOSPICE,00-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",251G00000X,https://npiregistry.cms.hhs.gov/provider-view/1003982893
1003999152,BOWDLE HOSPITAL,SD,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,00-85,204E00000X,275N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003999152
1013018183,ABERDEEN HEARING CLINIC LLC,SD,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",231H00000X,https://npiregistry.cms.hhs.gov/provider-view/1013018183
1013025006,"EBERSPACHER, DEBORAH",SD,PRACTITIONER - PHYSICAL THERAPIST IN PRIVATE PRACTICE,14-65,"225100000X,2251C2600X,2251E1200X,2251E1300X,2251G0304X+6",208100000X,https://npiregistry.cms.hhs.gov/provider-view/1013025006
1013062728,"BAUMANN, JON",SD,ORDER AND REFERRING ONLY - ORAL SURGERY,33-19,"1223S0112X,207WX0108X",122300000X,https://npiregistry.cms.hhs.gov/provider-view/1013062728
1013090414,"KRAMER CHIROPRACTIC CLINICS, PC",SD,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1013090414
1013097880,"MERXBAUER, DAVID",SD,ORDER AND REFERRING ONLY - ORAL SURGERY,33-19,"1223S0112X,207WX0108X",122300000X,https://npiregistry.cms.hhs.gov/provider-view/1013097880
