npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003010588,"FLACK, ENGLISH",TN,PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),14-06,207RC0000X,"2080P0202X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003010588
1003014507,GEORGE W. VICK II M.D. P.C.,TN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207V00000X,https://npiregistry.cms.hhs.gov/provider-view/1003014507
1003017963,"TODD, JOSHUA",TN,PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),14-06,207RC0000X,207RI0011X,https://npiregistry.cms.hhs.gov/provider-view/1003017963
1003019860,"VAUGHAN, JAMES",TN,PRACTITIONER - PATHOLOGY,14-22,"207ZB0001X,207ZC0006X,207ZC0008X,207ZC0500X,207ZD0900X+11",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003019860
1003023540,"GALLIMORE, MISTY",TN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YA0400X,101YM0800X",https://npiregistry.cms.hhs.gov/provider-view/1003023540
1003028770,SPRING HILL DERMATOLOGY PLC,TN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003028770
1003039512,"CROSSWHITE, AMY",TN,PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,14-E1,106H00000X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1003039512
1003052697,"SUNCREST HEALTHCARE OF EAST TENNESSEE, LLC",TN,PART A PROVIDER - HOME HEALTH AGENCY,00-06,207RC0000X,251E00000X,https://npiregistry.cms.hhs.gov/provider-view/1003052697
1003065772,HARDIN COUNTY REGIONAL HEALTH CENTER,TN,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),00-04,"207Y00000X,207YP0228X,207YS0012X,207YS0123X,207YX0007X+3",261QF0400X,https://npiregistry.cms.hhs.gov/provider-view/1003065772
1003071515,"KRETH, HEATHER",TN,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X","103T00000X,103TC2200X",https://npiregistry.cms.hhs.gov/provider-view/1003071515
1003085515,EXCELSIOR PODIATRY CLINIC PLLC,TN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",213ES0103X,https://npiregistry.cms.hhs.gov/provider-view/1003085515
1003085754,DOHNAL CHIROPRACTIC INC.,TN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003085754
1003088568,RESTORATIVE HEALTH SERVICES INC,TN,DME SUPPLIER - ORTHOTIC PERSONNEL,30-55,222Z00000X,335E00000X,https://npiregistry.cms.hhs.gov/provider-view/1003088568
1003091166,"HAVERKAMP, HILARY",TN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,104100000X,https://npiregistry.cms.hhs.gov/provider-view/1003091166
1003091943,"SWEENEY, BRANDY",TN,ORDER AND REFERRING ONLY - ANESTHESIOLOGY,33-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1",367500000X,https://npiregistry.cms.hhs.gov/provider-view/1003091943
1003136649,"ISKANDER, MARIAN",TN,ORDER AND REFERRING ONLY - ORAL SURGERY,33-19,"1223S0112X,207WX0108X","122300000X,1223P0221X",https://npiregistry.cms.hhs.gov/provider-view/1003136649
1003137506,"WARNER, KATHERINE",TN,PRACTITIONER - VASCULAR SURGERY,14-77,2086S0129X,208600000X,https://npiregistry.cms.hhs.gov/provider-view/1003137506
1003152208,"TRISTAR GYNECOLOGY ONCOLOGY, LLC",TN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207VX0201X,363L00000X",https://npiregistry.cms.hhs.gov/provider-view/1003152208
1003167511,"VANHORN, ELIZABETH",TN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1003167511
1003179334,"VOLNER, JOSEPH",TN,ORDER AND REFERRING ONLY - OTHER (NON-PHYSICIAN),33-88,,122300000X,https://npiregistry.cms.hhs.gov/provider-view/1003179334
1003183443,"BAYS, BRITTANY",TN,PRACTITIONER - PHYSICIAN ASSISTANT,14-97,"363A00000X,363AM0700X,363AS0400X",2255A2300X,https://npiregistry.cms.hhs.gov/provider-view/1003183443
1003203902,"WANG, JAMES",TN,PRACTITIONER - DIAGNOSTIC RADIOLOGY,14-30,"2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003203902
