npi,name,state,billing_state,medicare_paid_2023,medicare_allowed_2023,services_2023,beneficiaries_2023,provider_type,exclusion_source,exclusion_effective_year,post_exclusion_2023_billing,score,leie_lookup_url,sam_lookup_url,nppes_lookup_url
1114989092,"CAMPBELL, ODETTE",TX,TX,2277287.45,2561773.0,20219,1008,Internal Medicine,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1114989092
1285673012,"MIRANDA, EDUARDO",TX,TX,1862190.5,2356490.72,114488,386,Hematology-Oncology,oig_excluded|sam_excluded,2015,yes,3.0,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1285673012
1790795383,"UBALDO, HECTOR",TX,TX,165971.21,219682.75,5526,199,Internal Medicine,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1790795383
1588671853,"HORNEDO III, CARLOS",TX,TX,142397.83,197889.97,2495,245,Family Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1588671853
1851301204,"YOUNG, DAVID",TX,TX,112859.19,144382.87,1487,790,Emergency Medicine,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1851301204
1760445936,"MENDEZ, LEOVARES",TX,TX,31854.09,48918.24,1237,70,Family Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1760445936
1407801103,"MACKIE, EUGENE",TX,TX,31082.43,41185.14,1355,52,Otolaryngology,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1407801103
1922561414,"WRIGHT, GARY",TX,OK,20521.35,26403.59,222,173,Certified Registered Nurse Anesthetist (CRNA),oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1922561414
1326046616,"HAYGOOD, KEN",TX,TX,18848.15,28804.28,304,66,Family Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1326046616
1609237239,"ASHBY, JILL",TX,TX,15930.26,21679.56,362,125,Nurse Practitioner,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1609237239
1790937407,"LAYNE, CHERYL",TX,TX,12722.25,22659.27,484,88,Nurse Practitioner,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1790937407
1730493206,"CLARE, STEPHEN",TX,TX,2617.06,3765.73,56,52,Nurse Practitioner,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1730493206
