npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003007337,ROBERTS PHYSICAL THERAPY & MASSAGE,VA,PART B SUPPLIER - PHYSICAL/OCCUPATIONAL THERAPY GROUP IN PRIVATE PRACTICE,12-65,"225100000X,2251C2600X,2251E1200X,2251E1300X,2251G0304X+6",174400000X,https://npiregistry.cms.hhs.gov/provider-view/1003007337
1003016635,"BRIGHT, LILLIAN",VA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003016635
1003027913,"OLSEN, ROBIN",VA,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,207Q00000X,https://npiregistry.cms.hhs.gov/provider-view/1003027913
1003048240,"BAIRD, ERIN",VA,PRACTITIONER - CERTIFIED NURSE MIDWIFE (CNM),14-42,367A00000X,176B00000X,https://npiregistry.cms.hhs.gov/provider-view/1003048240
1003050485,"VISTAR EYE CENTER, INC",VA,DME SUPPLIER - PHYSICIAN - OPTOMETRIST,30-41,"152W00000X,152WC0802X,152WL0500X,152WP0200X,152WS0006X+2",332H00000X,https://npiregistry.cms.hhs.gov/provider-view/1003050485
1003059247,PEACHTREE INPATIENT CONSULTING LLC,VA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",208M00000X,https://npiregistry.cms.hhs.gov/provider-view/1003059247
1003065582,"TURNER, TIFFANY",VA,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",208600000X,https://npiregistry.cms.hhs.gov/provider-view/1003065582
1003073008,"ANDREW, SANDRA",VA,ORDER AND REFERRING ONLY - OTHER (NON-PHYSICIAN),33-88,,1223G0001X,https://npiregistry.cms.hhs.gov/provider-view/1003073008
1003074428,"LENG, DAVID",VA,PRACTITIONER - FAMILY PRACTICE,14-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003074428
1003077454,"DILLON, JOANNE",VA,PRACTITIONER - QUALIFIED AUDIOLOGIST,14-64,"231H00000X,231HA2400X,231HA2500X",237600000X,https://npiregistry.cms.hhs.gov/provider-view/1003077454
1003077702,"PAUL, ARUNAVA",VA,PRACTITIONER - NEPHROLOGY,14-39,207RN0300X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003077702
1003079914,"ABDEL MASSIH, RIMA",VA,PRACTITIONER - INFECTIOUS DISEASE,14-44,207RI0200X,207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1003079914
1003083387,BERRYVILLE PHYSICAL THERAPY AND WELLNESS PLLC,VA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",225100000X,https://npiregistry.cms.hhs.gov/provider-view/1003083387
1003089012,"BRINKMEYER, MARY",VA,ORDER AND REFERRING ONLY - CLINICAL PSYCHOLOGIST,33-68,103TC0700X,103TH0004X,https://npiregistry.cms.hhs.gov/provider-view/1003089012
