npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003265455,"BOMMAKANTI, ANURADHA",VI,PRACTITIONER - CRITICAL CARE (INTENSIVISTS) | PRACTITIONER - INTERNAL MEDICINE | PRACTITIONER - PULMONARY DISEASE,"14-11,14-29,14-81","207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003265455
1003374380,"FREDERIKSTED HEALTH CARE, INC.",VI,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),00-04,"207Y00000X,207YP0228X,207YS0012X,207YS0123X,207YX0007X+3",261QF0400X,https://npiregistry.cms.hhs.gov/provider-view/1003374380
1013012038,"CALHOON, SHANNAN",VI,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",176B00000X,https://npiregistry.cms.hhs.gov/provider-view/1013012038
1013300433,"MORALES CHEVRES, EDGAR",VI,PRACTITIONER - DIAGNOSTIC RADIOLOGY,14-30,"2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013300433
1013346832,SYNERGY FITNESS AND WELLNESS CENTER LLC,VI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1013346832
1023361052,ST THOMAS NEUROLOGY PLLC,VI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",2084N0400X,https://npiregistry.cms.hhs.gov/provider-view/1023361052
1033594288,"WEEKS, SHAWN",VI,PRACTITIONER - EMERGENCY MEDICINE | PRACTITIONER - GENERAL PRACTICE,"14-01,14-93","146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+4",208600000X,https://npiregistry.cms.hhs.gov/provider-view/1033594288
1053390666,VIRGIN ISLAND ORTHOPEDICS AND SPORTS MEDICINE P C,VI,DME SUPPLIER - PHYSICIAN - ORTHOPEDIC/ORTHOPEDIC SURGERY | PART B SUPPLIER - CLINIC/GROUP PRACTICE,"12-70,30-20","193200000X,193400000X,207X00000X,207XP3100X,207XS0106X+8","174400000X,207RR0500X,225100000X,363A00000X",https://npiregistry.cms.hhs.gov/provider-view/1053390666
1053567883,ACUTE ALTERNATIVE MEDICAL GROUP,VI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207PE0004X,https://npiregistry.cms.hhs.gov/provider-view/1053567883
1053842625,"KESHISHIAN, EDWARD",VI,PRACTITIONER - DIAGNOSTIC RADIOLOGY,14-30,"2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1053842625
