npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003141474,SPRINGFIELD MEDICAL CARE SYSTEMS INC,VT,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),00-04,"207Y00000X,207YP0228X,207YS0012X,207YS0123X,207YX0007X+3",261QF0400X,https://npiregistry.cms.hhs.gov/provider-view/1003141474
1003172180,"WINTER, MICHAEL",VT,PRACTITIONER - GASTROENTEROLOGY | PRACTITIONER - INTERNAL MEDICINE,"14-10,14-11","207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003172180
1003200551,"KOZAKEWICH, ELENA",VT,PRACTITIONER - PULMONARY DISEASE,14-29,207RP1001X,"208M00000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003200551
1003227208,"SMITH, WHITNEY",VT,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",367A00000X,https://npiregistry.cms.hhs.gov/provider-view/1003227208
1003248238,CHAMPLAIN VALLEY HEMATOLOGY ONCOLOGY PC,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207RH0003X,https://npiregistry.cms.hhs.gov/provider-view/1003248238
1003274655,"MALCZAK, PAUL",VT,PRACTITIONER - NEUROLOGY,14-13,"2084A2900X,2084E0001X,2084N0400X,2084N0402X,2085N0700X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003274655
1003278144,"ESTES, DYLAN",VT,PRACTITIONER - FAMILY PRACTICE,14-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003278144
1003296146,"MANGANELLO, CHRISTOPHER",VT,PRACTITIONER - DIAGNOSTIC RADIOLOGY,14-30,"2085D0003X,2085P0229X,2085R0202X,2085R0205X,2085U0001X",207Q00000X,https://npiregistry.cms.hhs.gov/provider-view/1003296146
1003298670,"GARGYA, AKSHAT",VT,PRACTITIONER - PAIN MANAGEMENT,14-72,208VP0000X,"207L00000X,208600000X",https://npiregistry.cms.hhs.gov/provider-view/1003298670
1003300757,"PHILLIPS, MOENSANIA",VT,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",163W00000X,https://npiregistry.cms.hhs.gov/provider-view/1003300757
1003350661,"BROWN, DIXIE",VT,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1003350661
1003803297,"THE RICHFORD HEALTH CENTER, INC.",VT,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC) | PART B SUPPLIER - CLINIC/GROUP PRACTICE,"00-04,12-70","193200000X,193400000X,207Y00000X,207YP0228X,207YS0012X+8",207Q00000X,https://npiregistry.cms.hhs.gov/provider-view/1003803297
1003866773,RADIOLOGY ASSOCIATES OF TALLAHASSEE PA,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","2085B0100X,2085N0700X,2085N0904X,2085P0229X,2085R0202X+3",https://npiregistry.cms.hhs.gov/provider-view/1003866773
1003881319,"BAMBERGER, STEPHAN",VT,PRACTITIONER - EMERGENCY MEDICINE | PRACTITIONER - PHYSICAL MEDICINE AND REHABILITATION,"14-25,14-93","146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+10",208VP0000X,https://npiregistry.cms.hhs.gov/provider-view/1003881319
1003883869,"MARSH, ERIC",VT,PRACTITIONER - ORTHOPEDIC SURGERY,14-20,"207X00000X,207XP3100X,207XS0106X,207XS0114X,207XS0117X+3",208600000X,https://npiregistry.cms.hhs.gov/provider-view/1003883869
1003985821,"DTGC, PC",VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207ZD0900X,207ZP0102X",https://npiregistry.cms.hhs.gov/provider-view/1003985821
1013055110,BAART BEHAVIORAL HEALTH SERVICES INC,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","261QM0850X,261QM2800X",https://npiregistry.cms.hhs.gov/provider-view/1013055110
1013269430,GIFFORD HEALTH CARE INC,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",208D00000X,https://npiregistry.cms.hhs.gov/provider-view/1013269430
1013273697,CHAMPLAIN MEDICAL ASSOCIATES PLLC,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207Q00000X,https://npiregistry.cms.hhs.gov/provider-view/1013273697
1013301324,MARY JEAN SADLAK PHD PC,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1013301324
1013303080,ACCESS TELECARE PLLC,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207Q00000X,207R00000X,207RC0000X,207RC0200X,207RP1001X+2",https://npiregistry.cms.hhs.gov/provider-view/1013303080
1013317908,"CARPENTER, LAUREN",VT,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,104100000X,https://npiregistry.cms.hhs.gov/provider-view/1013317908
1013405554,"LASCALA, LEAH",VT,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013405554
1013411362,"SHERIDAN, ANDREW",VT,PRACTITIONER - FAMILY PRACTICE,14-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013411362
1013412527,"MCNINCH, JAMES",VT,PRACTITIONER - PULMONARY DISEASE,14-29,207RP1001X,390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013412527
1013414101,"HARLOW, ETHAN",VT,PRACTITIONER - ORTHOPEDIC SURGERY,14-20,"207X00000X,207XP3100X,207XS0106X,207XS0114X,207XS0117X+3",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013414101
1013414986,"KUEKER, MICHAEL",VT,PRACTITIONER - FAMILY PRACTICE,14-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013414986
1013430511,NORTHEASTERN VERMONT REGIONAL HOSPITAL INC,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207RC0000X,282NC0060X",https://npiregistry.cms.hhs.gov/provider-view/1013430511
1013448695,"AMATO, STAS",VT,ORDER AND REFERRING ONLY - GENERAL SURGERY,33-02,"204E00000X,204F00000X,207T00000X,207X00000X,207XP3100X+20",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013448695
1013449768,"HERNANDEZ, MICHAEL",VT,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013449768
1013477371,"COTTER, ROBIN",VT,PRACTITIONER - GENERAL SURGERY,14-02,"204E00000X,204F00000X,207T00000X,207X00000X,207XP3100X+20",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013477371
1013494699,"SHAH, DHRUV",VT,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1013494699
1013928068,GIFFORD MEDICAL CENTER INC,VT,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,00-85,204E00000X,275N00000X,https://npiregistry.cms.hhs.gov/provider-view/1013928068
1013953280,UNIVERSITY OF VERMONT MEDICAL CENTER INC,VT,PART A PROVIDER - END-STAGE RENAL DISEASE FACILITY (ESRD),00-03,"207K00000X,207KA0200X,207KI0005X",261QE0700X,https://npiregistry.cms.hhs.gov/provider-view/1013953280
1013998871,"REDDEN, LAURA",VT,PRACTITIONER - CERTIFIED NURSE MIDWIFE (CNM),14-42,367A00000X,207V00000X,https://npiregistry.cms.hhs.gov/provider-view/1013998871
1023025418,"ROBERTS, JAMES",VT,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",208M00000X,https://npiregistry.cms.hhs.gov/provider-view/1023025418
1023028784,CENTRAL VERMONT MEDICAL CENTER INC,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","207Q00000X,207R00000X,207RC0000X,207RE0101X,207RR0500X+9",https://npiregistry.cms.hhs.gov/provider-view/1023028784
1023031143,"STAMPFL, ELIZABETH",VT,PRACTITIONER - PHYSICIAN ASSISTANT,14-97,"363A00000X,363AM0700X,363AS0400X",208800000X,https://npiregistry.cms.hhs.gov/provider-view/1023031143
1023058260,"SOLOMON, DAVID",VT,PRACTITIONER - ORAL SURGERY,14-19,"1223S0112X,207WX0108X",1223G0001X,https://npiregistry.cms.hhs.gov/provider-view/1023058260
1023090651,VERMONT VETERANS' HOME,VT,PART A PROVIDER - SKILLED NURSING FACILITY,00-18,"207W00000X,207WX0009X,207WX0107X,207WX0109X,207WX0110X+2",314000000X,https://npiregistry.cms.hhs.gov/provider-view/1023090651
1023092053,MARY HITCHCOCK MEMORIAL HOSPITAL,VT,PART A PROVIDER - HOSPITAL | PART B SUPPLIER - CLINIC/GROUP PRACTICE,"00-09,12-70","193200000X,193400000X,208VP0014X,261Q00000X,261QM1300X+1","207R00000X,261QE0002X,261QH0700X,273R00000X,282N00000X+2",https://npiregistry.cms.hhs.gov/provider-view/1023092053
1023093606,"DINER, MURRAY",VT,ORDER AND REFERRING ONLY - DENTIST,33-C5,"122300000X,1223G0001X",1223P0221X,https://npiregistry.cms.hhs.gov/provider-view/1023093606
1023164597,"STONE, MARGARET",VT,ORDER AND REFERRING ONLY - ORAL SURGERY,33-19,"1223S0112X,207WX0108X",1223G0001X,https://npiregistry.cms.hhs.gov/provider-view/1023164597
1023180445,"WAGENER, JESSICA",VT,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",207P00000X,https://npiregistry.cms.hhs.gov/provider-view/1023180445
1023193273,"STOFKA, SHERILYNN",VT,PRACTITIONER - MAXILLOFACIAL SURGERY,14-85,204E00000X,1223S0112X,https://npiregistry.cms.hhs.gov/provider-view/1023193273
1023235892,"MITCHELL, CHAD",VT,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",208M00000X,https://npiregistry.cms.hhs.gov/provider-view/1023235892
1023358710,FRANK LANDRY MD PLC,VT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1023358710
1023414109,"MARCEAU, KENDRA",VT,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1023414109
