npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1003000514,SENIOR MANAGEMENT INC,WI,PART A PROVIDER - SKILLED NURSING FACILITY,00-18,"207W00000X,207WX0009X,207WX0107X,207WX0109X,207WX0110X+2",314000000X,https://npiregistry.cms.hhs.gov/provider-view/1003000514
1003003716,BLAU CHIROPRACTIC SC,WI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003003716
1003012709,"THOMAS, STEPHEN",WI,ORDER AND REFERRING ONLY - OTHER (PHYSICIAN),33-99,208D00000X,1223G0001X,https://npiregistry.cms.hhs.gov/provider-view/1003012709
1003024951,"AURORA MEDICAL GROUP, INC.",WI,DME SUPPLIER - MULTI-SPECIALTY - PHYSICIAN,30-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",332B00000X,https://npiregistry.cms.hhs.gov/provider-view/1003024951
1003032178,HAANEN ZILISCH SMITH CHIROPRACTIC CLINIC LLC,WI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",111N00000X,https://npiregistry.cms.hhs.gov/provider-view/1003032178
1003039678,"DOLAN, LYNN",WI,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",2083X0100X,https://npiregistry.cms.hhs.gov/provider-view/1003039678
1003052572,"GUTIERREZ, JESSICA",WI,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YA0400X,101YM0800X",https://npiregistry.cms.hhs.gov/provider-view/1003052572
1003058942,"TAHER, HAJERA",WI,PRACTITIONER - ANESTHESIOLOGY,14-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1",390200000X,https://npiregistry.cms.hhs.gov/provider-view/1003058942
1003073636,"BLUM, SONJA",WI,PRACTITIONER - NEUROLOGY,14-13,"2084A2900X,2084E0001X,2084N0400X,2084N0402X,2085N0700X","2084B0040X,208D00000X",https://npiregistry.cms.hhs.gov/provider-view/1003073636
1003079740,LA POINTE COMMUNITY CLINIC INC,WI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",261QR1300X,https://npiregistry.cms.hhs.gov/provider-view/1003079740
1003083114,A B SEE VISION THERAPY CENTERS SC,WI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",152WV0400X,https://npiregistry.cms.hhs.gov/provider-view/1003083114
1003085846,"YOUSIF, NAZIH",WI,PRACTITIONER - PLASTIC AND RECONSTRUCTIVE SURGERY,14-24,"208200000X,2082S0099X,2082S0105X","208600000X,2086S0122X",https://npiregistry.cms.hhs.gov/provider-view/1003085846
1003098989,"ABROKWAH, FREDERICK",WI,PRACTITIONER - HOSPITALIST,14-C6,208M00000X,"207R00000X,390200000X",https://npiregistry.cms.hhs.gov/provider-view/1003098989
